项目名,项目难度,技术领域标签,项目简述,项目产出要求
openInula 2.0 Antd 核心组件库,进阶,"React, UI, Webpack, Web Application","openInula2.0 是一个新兴的前端框架，但目前缺乏一套完整的 UI 组件库支持。本项目旨在基于 Ant Design（Antd）的设计规范，开发一套轻量级的核心组件库，为开发者提供高效、易用的基础组件。

相关背景：Antd 是 React 生态中广泛使用的 UI 组件库，但 openInula2.0 作为新框架，需要兼容其特性的组件库。
已有工作：Antd 的开源代码和设计规范可作为参考。
存在的不足：openInula2.0 尚未有官方支持的组件库，开发者需要手动适配 Antd 组件。

实现目标：提供一套稳定、高效的 openInula2.0 版 Antd 基础组件库，支持常见场景的开发需求，包括：
DatePicker (日期选择框)
Form (表单)
Tooltip (文字提示)
Tree (树形控件）","项目产出要求
1.  输出要求的 openInula2.0组件及测试代码
2.  完善的文档，包括架构设计、API说明、使用指南和开发文档"
OpenFDE的任务管理器,基础,AndroidX,"项目概述
OpenFDE 是一款在 Linux 系统上运行的桌面环境，它支持 Linux 和 Android 应用的原生执行。通过 OpenFDE，用户可以无缝运行丰富的 Linux 和 Android 应用程序及游戏，享受一致的使用体验。
目前，OpenFDE 缺乏一款能够同时管控 Linux 和 Android 程序的任务管理器。当某些应用出现内存泄漏或用户同时开启多个大型应用时，可能会导致系统卡顿。在这种情况下，用户往往难以直观地排查问题原因，从而影响使用体验。
为了解决这一问题，我们计划开发一款专为 Android PC 化设计的任务管理器。这款工具将能够监控和管理整个设备上正在运行的进程和应用程序，帮助用户实时了解系统资源使用情况，并提供便捷的管理功能，以优化系统性能和稳定性。","项目产出要求
1. 提供Android和Linux 程序详细进程信息，包括 CPU、内存、磁盘和网络使用情况。
2.支持结束进程、启动进程。
3.提供服务管理功能，允许用户启动、停止系统服务。
4.图形化界面，易于操作并提供详细的帮助文档和提示，方便新手用户。"
基于django后端vue前端使用nump处理空数据,基础/Basic,"Django, Linux",kytuning是一款自动化基准性能测试工具，能够在页面中展示性能数据。目前kytuning能够正常进行性能测试，性能测试完成后返回服务端测试结果，并能够把测试结果展示在页面中供用户查看，但当数据为空时会导致数据获取失败，其它数据的对比信息也无法展示，本题希望使用nump处理空数据，即使某组或某个数据未获取也不影响其它数据的对比展示。,"项目产出要求
1、当stream、unixbench、unixbench、lmbench、fio、iozone、jvm2008、cpu2006、cpu2017数据存在空数据时，目前会存在未处理空数据导致页面无法正常显示，此项目希望能够处理空数据，让页面中其他的对比信息能够正确返回。"
实现在openGemini Go/JAVA客户端中无缝集成OpenTelemetry,基础,"DevOps, Database","实现openGemini的Go/Java客户端深度集成OpenTelemetry，为开发者提供零侵入、全链路、多维度的观测能力，助力构建云原生时代的高效诊断体系。通过标准化协议对接，用户无需修改业务代码即可将数据库请求链路与OpenTelemetry生态无缝打通，实现链路追踪。通过该功能，开发和运维人员可以实时观测客户端的行为，对异常、性能瓶颈等问题进行快速定位和追踪，同时便于与社区通用可观测性平台集成。

架构与数据流

在Go/Java Client中实现Otel Collector，采集客户端查询与写入操作的相关信息，如""请求的耗时""、""响应状态""、""错误信息""等。写入到Jaeger中进行数据存储。

opentelemetry应用开发Demo链接：https://github.com/open-telemetry/opentelemetry-go-contrib/tree/main/examples

openGemini-go-client: https://github.com/openGemini/opengemini-client-go

openGemini-java-client: https://github.com/openGemini/opengemini-client-java","项目产出要求
1. 完成项目的设计、开发、测试并提供架构和使用以及二次开发的文档
2. 设计时应符合高可配置性，用户可自定义采集级别和导出端点(exporter)。模块应与现有openGemini 客户端解耦，不影响现有功能的正常运行。
3. 符合 openGemini开源社区贡献规范，PR 包含具体开发说明与使用演示
4. 开发完成后合入社区相应代码仓"
基于LiteFlow框架开发大模型插件以实现类Dify的后端智能体应用表达式编排能力,进阶,"AI, Spring Boot","LiteFlow是国内知名的Java规则引擎，目前被应用在数千家企业核心业务侧，社区人数众多，活跃度高。

目前LiteFlow被广泛应用在逻辑编排场景，拥有灵活的DSL规则表示式以及支持度广泛的脚本语言，实用性和特性都非常适合业务复杂的应用侧。

随着AI大模型的兴起，社区很多开发者把LiteFlow当做一个“后端Dify”来构造自己的智能体逻辑流。并且已经有相当一部分的社区同学已经成功落地了。但是LiteFlow并没有从框架层面对大模型有任何支持，LiteFlow目前提供的组件是极其开放的，大模型实现的部分还需要开发者自己去实现的。

所以这次的课题的目标就是为LiteFlow打造一个AI大模型支持的插件，开发者不用自己再去对接大模型，能够直接引用AI插件已定义好的大模型的各种组件加上LiteFlow原有的强大的编排能力形成一个智能体逻辑流程。

这次课题需要涉及当下大模型中的大部分知识块，包括但不仅限于对接主流平台的API，RAG，FunctionCall，MCP等相关概念。","项目产出要求
1. 为LiteFlow开发liteflow-ai插件模块
1.1：提供大模型的组件，这些组件需要对接主流平台以及本地Ollama
1.2：需要在编排层面对这些大模型组件进行输入输出定义的设计
1.3：需要从设计上支持多模态输入，流式输出，Function Call等的包装支持
2. 为大模型插件提供完善的测试用例工程liteflow-ai-test模块，需要对每一个细分功能点，场景进行支持
3. 为开发好的liteflow-ai插件创建演示工程liteflow-ai-example工程，综合利用liteflow-ai开发的演示工程。"
为 treeland 实现锁屏管理协议,进阶/Advanced,"Qt, Wayland","Treeland 是一个基于 Wayland 协议的合成器，致力于提供轻量级、模块化且可扩展的桌面环境体验。随着  Wayland 生态的完善，ext-session-lock-v1 协议已经成为管理会话锁定（如锁屏）的标准接口。当前 Treeland  尚未支持该协议，无法与 linux 社区广泛使用的锁屏应用兼容。本项目旨在为 Treeland 实现完整的  ext-session-lock-v1 协议支持，提升其功能完整性和生态兼容性。

waylib 是 treeland 的核心开发库，提供了 wlroot 的 QtQuick 风格封装，此任务的核心工作在于完善此开发库。","项目产出要求
1. 可以运行 swaylock ，hyprlock 等使用 ext-session-lock 协议的客户端，完成锁屏"
为 Dubbo Admin 实现多种部署模式和 AI 智能管控运维能力,进阶,"Cloud Native, LLMOps, AI","1. Dubbo Admin作为宏观的控制中心，需要对运行在k8s以及非k8s环境下的Dubbo微服务进行统一的服务管理，流量管控。
目前Dubbo微服务有三种形态：
a. universal模式，该模式下dubbo微服务使用传统注册中心（nacos，zookeeper）进行服务发现，运行环境为虚拟机或其他非k8s环境。b. half模式，该模式下dubbo微服务使用传统注册中心进行服务发现，使用k8s作为运行的基础设施。
c. k8s模式，该模式使用istio和k8s作为注册中心和运行基座。
目前Admin已经支持了前两种，需要对第三种模式进行完善。

2. 随着微服务集群规模的扩大，企业内异地多活，容灾备份的场景越来越常见。Admin需要对多注册中心，多k8s集群进行支持。

3. Dubbo Admin作为统一的控制面，可以掌握到数据面的运行时数据，服务发现数据，以及可观测数据。当数据面中某个微服务出现问题时，利用服务运行信息以及监控（metric），日志（log），链路追踪（trace）等数据，结合llm，agent等技术，在Admin控制台中提供一个智能机器人，给开发者提供可能的排查方向和问题根源。","项目产出要求
1. 完善 Dubbo Admin 多种部署模型能力的支持
2. 提供结合 AI 进行问题诊断能力"
DragonOS云厂商移植支持,进阶,"Cloud Native, Linux, x86","DragonOS 是一个自主研发、基于 Rust 编写的现代化操作系统，目前已支持在腾讯云CVM上运行。然而，在实际运行中尚存在网络等关键功能不完善的问题，以及一些稳定性问题。例如，运行于腾讯云的 DragonOS  CVM实例，目前暂时无法稳定响应 HTTP 请求。
本项目旨在进一步提升 DragonOS 在各大云平台上的可用性与稳定性，主要目标包括：
将DragonOS移植至2个及以上的云平台，包括腾讯云、阿里云、华为云。
完成sshd的移植，能够通过ssh连接运行DragonOS的云服务器实例
完成Nginx的适配与部署，让DragonOS的云服务器实例提供稳定的HTTP服务；
完善自动化初始化配置工具 DragonConfig（Rust 实现，类似 cloud-init），完成云服务器实例启动后的自动初始化；","项目产出要求
1. 将DragonOS移植至2个及以上的云平台，包括腾讯云、阿里云、华为云。能够正常进入用户态，并完成内核及启动流程的适配
2. 移植sshd，能够通过ssh连接DragonOS
3. 成功在DragonOS上部署 Nginx，提供静态网页服务：可通过公网访问，稳定运行72小时以上
4. 实现DraconConfig自动初始化工具：主要包括网络配置模块、移植必要的网络管理工具等
5. 技术文档与操作手册：提供完整的文档体系，支撑用户与开发者的使用与二次开发。"
在skywalking-go中增加trace profiling功能,进阶/Advanced,"DevOps, DevSecOps",暂无简述,暂无产出要求
增强Volcano Agent以支持Cgroup V2与Systemd,基础/Basic,"Docker, Kubernetes, Cgroups, Linux",暂无简述,暂无产出要求
基于MindSpore Quantum实现自适应偏置场热启动QAOA算法 ,基础,AI,暂无简述,暂无产出要求
为 Arthas 实现 JFR 解析和前端UI库,基础,"AIOps, React, RESTful API",暂无简述,暂无产出要求
k8s任务与k8s集群链接优化,基础/Basic,Kubernetes,暂无简述,暂无产出要求
Apache ShardingSphere: 增强 SQL Server SQL 解析引擎，适配更多 DDL、DML 语句,基础,MySQL,暂无简述,暂无产出要求
ArceBoot引导程序设计,进阶,RISC-V,暂无简述,暂无产出要求
Apache HertzBeat 日志监控能力,进阶/Advanced,"Angular, Spring Boot",暂无简述,暂无产出要求
实现 dynamic-tp 的自建管理端功能,进阶,"Spring Cloud, Spring Boot",暂无简述,暂无产出要求
dora-rs 样例开发和改进文档,基础/Basic,"Programming Language, Linux, Ubuntu, ARM, Clang",暂无简述,暂无产出要求
基于 Rust 的 RROS 实时与非实时代码分离与优化,进阶/Advanced,RTOS,暂无简述,暂无产出要求
Sermant动态配置能力增强——支持Apollo配置中心,进阶,Cloud Native,暂无简述,暂无产出要求
BMF DiffusionFlow,进阶/Advanced,"AI, LLM",暂无简述,暂无产出要求
面向工业制造的具身智能基准测试套件,进阶/Advanced,"Kubernetes, AI",暂无简述,暂无产出要求
TinyVue组件增加全局配置动效方案,基础,"UI, Vue.js",暂无简述,暂无产出要求
为RustPilot添加MuJoCo/Nvidia Isaac仿真平台的支持,进阶/Advanced,"Programming Language, ARM, Linux",暂无简述,暂无产出要求
基于 Occlum 实现 System V 信号量系统调用,基础,Linux,暂无简述,暂无产出要求
使用仓颉语言编写的洛书运行环境,基础,Programming Language,暂无简述,暂无产出要求
Cloudpods 大模型一键部署,进阶,"LLM, Docker, Kubernetes",暂无简述,暂无产出要求
为IvorySQL开发基于uuid-ossp的sys_guid函数,基础,PostgreSQL,暂无简述,暂无产出要求
uORB 订阅发布机制组件,基础,RTOS,暂无简述,暂无产出要求
基于OrangePi AIpro和鸿蒙系统的智能网联小车开发,进阶,AI,暂无简述,暂无产出要求
开源软件 API 图谱构建与基于图谱的开源软件生态评估,进阶/Advanced,LLM,暂无简述,暂无产出要求
实现 nydusify copy 的不落盘能力,进阶,"AI, Kubernetes, FUSE",暂无简述,暂无产出要求
mermaid 可视化能力扩展,基础/Basic,UIKit,暂无简述,暂无产出要求
