发布部门,标题,发布时间,通知URL,是否有附件,附件信息,下载次数参数
教学运行,关于2024-2025学年第二学期《大学物理A（上）》、《大学物理B（上）》课程半期考试安排的通知,发布时间：2025-04-01,https://jwch.fzu.edu.cn//../info/1036/13974.htm,有,2402大物A上、B上半期考-4.13下午.xlsx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15770526),"wbfileid=15770526,owner=1744984858"
实践科,关于组织开展第十八届中国大学生计算机设计大赛校内预选赛的通知,发布时间：2025-03-31,https://jwch.fzu.edu.cn//../info/1039/13973.htm,无,无,无
实践科,关于举办福州大学第二十二届程序设计竞赛暨校ACM/ICPC集训队选拔赛的通知,发布时间：2025-03-24,https://jwch.fzu.edu.cn//../info/1039/13948.htm,无,无,无
教学运行,关于2024-2025学年第二学期《概率论与数理统计》课程半期考试安排的通知,发布时间：2025-03-24,https://jwch.fzu.edu.cn//../info/1036/13947.htm,有,2402概率论半期考-4.13下午.xlsx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15767966),"wbfileid=15767966,owner=1744984858"
质量办,关于举办第六十五场“教学有道”研讨活动的通知,发布时间：2025-03-20,https://jwch.fzu.edu.cn//../info/1040/13945.htm,无,无,无
实践科,关于举办福州大学第十六届企业经营模拟沙盘对抗赛的通知,发布时间：2025-03-19,https://jwch.fzu.edu.cn//../info/1039/13935.htm,有,附件：福州大学第十六届企业经营模拟沙盘对抗赛报名表.doc(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15766807),"wbfileid=15766807,owner=1744984858"
教学运行,关于做好2025-2026学年第一学期排课准备工作的通知,发布时间：2025-03-11,https://jwch.fzu.edu.cn//../info/1036/13908.htm,无,无,无
计划科,关于2024-2025学年第二学期爱课程平台参加通识教育选修课学习的重要提示,发布时间：2025-03-11,https://jwch.fzu.edu.cn//../info/1038/13907.htm,无,无,无
质量办,关于举办福州大学第六十四场“教学有道”研讨活动的通知,发布时间：2025-03-11,https://jwch.fzu.edu.cn//../info/1040/13905.htm,无,无,无
教学运行,关于做好2025年3月退役复学学生转专业的通知,发布时间：2025-03-10,https://jwch.fzu.edu.cn//../info/1036/13904.htm,有,福州大学参军退伍复学后学生转专业审批表.doc(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15764381); 福州大学本科生转专业管理实施办法 .doc(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15764380),"wbfileid=15764381,owner=1744984858; wbfileid=15764380,owner=1744984858"
教学运行,关于2024-2025学年第二学期重新学习选课、缴费的通知,发布时间：2025-03-10,https://jwch.fzu.edu.cn//../info/1036/13903.htm,无,无,无
质量办,关于开展2025年春季学期申请类督导听课工作的通知,发布时间：2025-03-07,https://jwch.fzu.edu.cn//../info/1040/13901.htm,有,附件：2025年春季学期申请类督导听课汇总表.docx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15764095),"wbfileid=15764095,owner=1744984858"
实践科,关于举办福州大学第五届先进成图技术与产品信息建模创新大赛的通知,发布时间：2025-03-06,https://jwch.fzu.edu.cn//../info/1039/13900.htm,有,附件2：第五届福州大学先进成图技术与产品信息建模创新大赛报名表.xls(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15763874),"wbfileid=15763874,owner=1744984858"
实践科,关于举办福州大学第十四届大学生软件设计与服务外包创新创业竞赛的通知,发布时间：2025-03-06,https://jwch.fzu.edu.cn//../info/1039/13898.htm,无,无,无
实践科,关于做好创新创业实践与素质拓展学分认定工作的通知,发布时间：2025-03-04,https://jwch.fzu.edu.cn//../info/1039/13893.htm,有,附件1：本科生创新创业实践与素质拓展学分认定汇总表（2025年版）.docx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15763390); 附件2：本科生创新创业实践与素质拓展学分认定申请表（2025年版）.docx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15763405),"wbfileid=15763390,owner=1744984858; wbfileid=15763405,owner=1744984858"
计划科,关于公布2024-2025学年第二学期通选课取消开课名单的通知,发布时间：2025-03-03,https://jwch.fzu.edu.cn//../info/1038/13890.htm,无,无,无
综合科,关于2024-2025学年第二学期本科生学生证补办和火车票优惠区间更改的通知,发布时间：2025-02-24,https://jwch.fzu.edu.cn//../info/1035/13884.htm,无,无,无
质量办,关于推荐遴选校级本科教学督导员的通知,发布时间：2025-02-24,https://jwch.fzu.edu.cn//../info/1040/13883.htm,有,附件：福州大学本科教学督导员推荐表.docx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15761796),"wbfileid=15761796,owner=1744984858"
质量办,关于开学第一周集中听课的通知,发布时间：2025-02-23,https://jwch.fzu.edu.cn//../info/1040/13882.htm,有,附件1：福州大学课堂教学质量评估表.doc(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15761249); 附件2：福州大学课堂教学质量评估表（思政课）.docx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15761250); 附件3：2024-2025学年第二学期第一周课表.xlsx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15761251); 附件4：福州大学党政领导听课管理实施办法（福大教〔2022〕27号）.doc(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15761252),"wbfileid=15761249,owner=1744984858; wbfileid=15761250,owner=1744984858; wbfileid=15761251,owner=1744984858; wbfileid=15761252,owner=1744984858"
教学运行,关于2024-2025第二学期学期选课、辅修选课补退选和缴费的通知,发布时间：2025-02-23,https://jwch.fzu.edu.cn//../info/1036/13881.htm,无,无,无
计划科,关于2024-2025学年第二学期港澳台侨学生思政课和军事课程退选替代的通知,发布时间：2025-02-22,https://jwch.fzu.edu.cn//../info/1038/13880.htm,有,2024-2025学年第二学期国情课列表.docx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15761212),"wbfileid=15761212,owner=1744984858"
计划科,关于通识教育选修课《国际化拔尖创新人才科研训练2025春》宣讲会及选课的通知,发布时间：2025-02-22,https://jwch.fzu.edu.cn//../info/1038/13879.htm,有,2025年春季国际化拔尖创新人才科研训练具体课程清单.xlsx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15761347),"wbfileid=15761347,owner=1744984858"
计划科,关于2024级学生参加2024-2025学年第二学期《大学生国家安全教育》课程学习的通知,发布时间：2025-02-22,https://jwch.fzu.edu.cn//../info/1038/13878.htm,有,超星尔雅使用手册（学生版）.pdf(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15761200),"wbfileid=15761200,owner=1744984858"
计划科,关于2024-2025学年第二学期通识教育选修课选课的通知,发布时间：2025-02-22,https://jwch.fzu.edu.cn//../info/1038/13877.htm,有,超星尔雅使用手册（学生版）.pdf(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15761197); 慕课堂学生操作手册.pdf(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15761198); 智慧树学生手册2025春夏.pptx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15761199),"wbfileid=15761197,owner=1744984858; wbfileid=15761198,owner=1744984858; wbfileid=15761199,owner=1744984858"
教材中心,关于2024-2025学年第二学期教材发放的通知,发布时间：2025-02-22,https://jwch.fzu.edu.cn//../info/1042/13876.htm,无,无,无
综合科,关于召开2024-2025学年春季学期期初本科教育教学工作会议的通知,发布时间：2025-02-22,https://jwch.fzu.edu.cn//../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1035&wbnewsid=13875,无,无,无
综合科,教务处关于2025年寒假用印安排的通知,发布时间：2025-01-18,https://jwch.fzu.edu.cn//../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1035&wbnewsid=13871,无,无,无
教研教改,福州大学关于收集线上课程资源需求的通知（2025年）,发布时间：2025-01-15,https://jwch.fzu.edu.cn//../info/1037/13861.htm,无,无,无
实践科,关于做好第三十一期本科生科研训练计划项目立项申报工作的通知,发布时间：2025-01-13,https://jwch.fzu.edu.cn//../info/1039/13858.htm,有,第31期SRTP附件.zip(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15756794),"wbfileid=15756794,owner=1744984858"
计划科,关于印发《福州大学本科生课程替代与学分认定管理实施办法》的通知,发布时间：2025-01-10,https://jwch.fzu.edu.cn//../info/1038/13857.htm,无,无,无
教学运行,关于2025年春季学期《大学物理实验A（上）》、《大学物理实验C》绪论课程教室安排的通知,发布时间：2025-01-08,https://jwch.fzu.edu.cn//../info/1036/13853.htm,有,2025年春季学期《大学物理实验A（上）》、《大学物理实验C》绪论课安排.xlsx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15756207),"wbfileid=15756207,owner=1744984858"
教学运行,关于2024-2025学年第二学期辅修专业选课的通知,发布时间：2025-01-07,https://jwch.fzu.edu.cn//../info/1036/13852.htm,无,无,无
教学运行,关于2025届预计毕业生校对电子注册学历照片的通知,发布时间：2025-01-07,https://jwch.fzu.edu.cn//../info/1036/13851.htm,无,无,无
,关于召开2024-2025学年秋季学期期末本科教育教学工作会议的通知,发布时间：2025-01-04,https://jwch.fzu.edu.cn//../info/1012/13848.htm,无,无,无
综合科,关于召开2024-2025学年秋季学期期末本科教育教学工作会议的通知,发布时间：2025-01-04,https://jwch.fzu.edu.cn//../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1035&wbnewsid=13847,无,无,无
计划科,关于核对2024-2025学年第二学期通识教育选修课开课信息的有关通知,发布时间：2025-01-02,https://jwch.fzu.edu.cn//../info/1038/13841.htm,无,无,无
教学运行,福州大学关于印发授予普通全日制学生学士学位工作细则的通知,发布时间：2024-12-31,https://jwch.fzu.edu.cn//../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1036&wbnewsid=13842,无,无,无
教材中心,关于开展2025年拟出版本科教材审核工作的通知,发布时间：2024-12-31,https://jwch.fzu.edu.cn//../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1042&wbnewsid=13840,有,附件4：福州大学本科教材校外编写人员政治审查表.docx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15742686); 附件3：福州大学本科教材编写人员政治审查表.docx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15742685); 附件1：福州大学教材管理实施细则.pdf(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15742681); 附件2：福州大学本科教材编写人员汇总表.docx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15742682); 附件5：福州大学本科教材编写审核表.docx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15742683),"wbfileid=15742686,owner=1744984858; wbfileid=15742685,owner=1744984858; wbfileid=15742681,owner=1744984858; wbfileid=15742682,owner=1744984858; wbfileid=15742683,owner=1744984858"
实践科,关于对2024年学院教学有关数据进行统计的通知,发布时间：2024-12-30,https://jwch.fzu.edu.cn//../info/1039/13836.htm,有,2024年学院教学有关数据统计表格.zip(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15742546),"wbfileid=15742546,owner=1744984858"
实践科,关于举办福州大学第十一届桥梁设计大赛的通知,发布时间：2024-12-30,https://jwch.fzu.edu.cn//../info/1039/13834.htm,有,附件2：福州大学第十一届桥梁设计大赛报名表.doc(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15742381); 附件3：福州大学第十一届桥梁设计大赛-竞赛细则.doc(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15742380),"wbfileid=15742381,owner=1744984858; wbfileid=15742380,owner=1744984858"
教学运行,关于2024-2025学年第一学期《大学物理A（下）》和《大学物理B（下）》课程期末考试安排的通知,发布时间：2024-12-29,https://jwch.fzu.edu.cn//../info/1036/13833.htm,有,2401大学物理A下、B下期末考-1.17上午.xlsx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15742324),"wbfileid=15742324,owner=1744984858"
教学运行,关于2024-2025学年第一学期《高等数学A（上）》、《高等数学B（上）》、《高等数学C（上）》和《高等数学D》课程期末考试安排的通知,发布时间：2024-12-29,https://jwch.fzu.edu.cn//../info/1036/13831.htm,有,2401高等数学C上、D期末考-1.16下午.xlsx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15742323); 2401高等数学A上、B上期末考-1.16上午.xlsx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15742322),"wbfileid=15742323,owner=1744984858; wbfileid=15742322,owner=1744984858"
教学运行,关于做好期末复习考试及下学期开学等工作的通知,发布时间：2024-12-27,https://jwch.fzu.edu.cn//../info/1036/13820.htm,无,无,无
教材中心,关于开展本科教材工作自查的通知,发布时间：2024-12-25,https://jwch.fzu.edu.cn//../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1042&wbnewsid=13819,有,附件1：福州大学本科教材工作自查表.docx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15647312); 附件2：福州大学本校教师自编教材情况汇总表.xlsx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15647375); 附件3：福州大学本科教材编写人员审核表.docx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15647311); 附件4：福州大学本科教材编写审核表.docx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15647314); 附件5：《普通高等学校教材管理办法》等文件.rar(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15647315),"wbfileid=15647312,owner=1744984858; wbfileid=15647375,owner=1744984858; wbfileid=15647311,owner=1744984858; wbfileid=15647314,owner=1744984858; wbfileid=15647315,owner=1744984858"
教学运行,关于2024-2025学年第一学期《工程制图C（上）》、《工程制图D》和《工程制图F》课程期末考试安排的通知,发布时间：2024-12-25,https://jwch.fzu.edu.cn//../info/1036/13815.htm,有,2401制图C（上）、D、F期末考-1.13下午.xlsx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15647296),"wbfileid=15647296,owner=1744984858"
教学运行,关于2024-2025学年第一学期《大学英语（二）》课程期末考试安排的通知,发布时间：2024-12-25,https://jwch.fzu.edu.cn//../info/1036/13814.htm,有,2401英语二期末考-1.11上、下午.xlsx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15647283),"wbfileid=15647283,owner=1744984858"
教学运行,关于2024-2025学年第一学期《大学英语（一）》和《大学英语（三）》课程期末考试安排的通知,发布时间：2024-12-25,https://jwch.fzu.edu.cn//../info/1036/13813.htm,有,2401英语一、三期末考-1.10.xlsx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15647279),"wbfileid=15647279,owner=1744984858"
教学运行,关于2025年元旦放假课程调整的通知,发布时间：2024-12-25,https://jwch.fzu.edu.cn//../info/1036/13812.htm,无,无,无
质量办,关于举办福州大学第六十三场“教学有道”研讨活动的通知,发布时间：2024-12-24,https://jwch.fzu.edu.cn//../info/1040/13810.htm,无,无,无
实践科,关于公布2024年福州大学大学生工程实践与创新能力大赛获奖名单的通知,发布时间：2024-12-24,https://jwch.fzu.edu.cn//../info/1039/13808.htm,无,无,无
教学运行,关于2024-2025学年第一学期《思想道德与法治》课程期末考试安排的通知,发布时间：2024-12-24,https://jwch.fzu.edu.cn//../info/1036/13806.htm,有,2401思法随堂考.xlsx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15646936),"wbfileid=15646936,owner=1744984858"
教学运行,关于2024-2025学年第一学期《线性代数》和《线性代数与解析几何》课程期末考试安排的通知,发布时间：2024-12-24,https://jwch.fzu.edu.cn//../info/1036/13805.htm,有,2401线性代数、线性代数与解析几何期末考-1.5上午.xlsx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15646935),"wbfileid=15646935,owner=1744984858"
教学运行,关于2024-2025学年第二学期本科生学期选课的通知,发布时间：2024-12-23,https://jwch.fzu.edu.cn//../info/1036/13804.htm,无,无,无
质量办,关于制定学院本科教学督导工作管理实施办法的通知,发布时间：2024-12-18,https://jwch.fzu.edu.cn//../info/1040/13801.htm,有,附件1：福大教评24-3-福州大学关于印发本科教学督导工作管理实施办法的通知.pdf(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15646301); 附件2：学院本科教学督导组名单.docx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15646302),"wbfileid=15646301,owner=1744984858; wbfileid=15646302,owner=1744984858"
质量办,关于上报学院本科教育教学质量保障2024年工作总结和2025年工作计划的通知,发布时间：2024-12-18,https://jwch.fzu.edu.cn//../info/1040/13797.htm,无,无,无
教学运行,关于2024-2025学年第一学期《中国近现代史纲要》课程期末考试安排的通知,发布时间：2024-12-17,https://jwch.fzu.edu.cn//../info/1036/13796.htm,有,2401史纲随堂考.xlsx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15645108),"wbfileid=15645108,owner=1744984858"
教学运行,关于2024-2025学年第一学期《大学英语（四）》课程期末考试安排的通知,发布时间：2024-12-17,https://jwch.fzu.edu.cn//../info/1036/13795.htm,有,2401英语四期末考-12.29上午.xlsx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15645107),"wbfileid=15645107,owner=1744984858"
教学运行,关于2024-2025学年第一学期计算机语言类课程期末考试安排的通知,发布时间：2024-12-13,https://jwch.fzu.edu.cn//../info/1036/13792.htm,有,2401计算机语言课程期末考-12.28上午.xlsx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15643339),"wbfileid=15643339,owner=1744984858"
教材中心,关于公布福州大学2024年本科数字教材建设立项项目的通知,发布时间：2024-12-12,https://jwch.fzu.edu.cn//../info/1042/13837.htm,有,福州大学2024年本科数字教材建设立项项目名单.xls(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15742619),"wbfileid=15742619,owner=1744984858"
实践科,关于做好2025届本科生毕业设计（论文）工作的通知,发布时间：2024-12-12,https://jwch.fzu.edu.cn//../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=13791,有,附件：2025届福州大学本科生毕业设计（论文）有关表格.zip(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15643247),"wbfileid=15643247,owner=1744984858"
综合科,关于评选2024年优秀教学管理人员的通知,发布时间：2024-12-12,https://jwch.fzu.edu.cn//../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1035&wbnewsid=13790,有,附件2-福州大学2024年优秀教学管理人员申报表.doc(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15643196); 附件1-福大政21-47福州大学关于印发优秀教学管理人员评选办法的通知.pdf(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15643197),"wbfileid=15643196,owner=1744984858; wbfileid=15643197,owner=1744984858"
实践科,关于做好2024年省级以上大学生创新训练计划项目和第三十期本科生科研训练计划项目中期检查工作的通知,发布时间：2024-12-09,https://jwch.fzu.edu.cn//../info/1039/13784.htm,有,附件.zip(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15642560),"wbfileid=15642560,owner=1744984858"
质量办,关于举办福州大学第六十二场“教学有道” 研讨活动的通知,发布时间：2024-12-05,https://jwch.fzu.edu.cn//../info/1040/13783.htm,无,无,无
教学运行,关于2024-2025学年第一学期《概率论与数理统计》课程期末考试安排的通知,发布时间：2024-12-04,https://jwch.fzu.edu.cn//../info/1036/13780.htm,有,2401概率期末考-12.15下午.xlsx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15640022),"wbfileid=15640022,owner=1744984858"
教学运行,关于2024-2025学年第一学期《马克思主义基本原理》和《毛泽东思想和中国特色社会主义理论体系概论》课程期末考试安排的通知,发布时间：2024-12-03,https://jwch.fzu.edu.cn//../info/1036/13779.htm,有,2401马原随堂考.xlsx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15639802); 2401毛概随堂考.xlsx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15639803),"wbfileid=15639802,owner=1744984858; wbfileid=15639803,owner=1744984858"
实践科,关于举办第十五届全国大学生电子商务“三创赛”福州大学校赛的通知,发布时间：2024-12-02,https://jwch.fzu.edu.cn//../info/1039/13778.htm,有,附件：“三创赛”福州大学校赛附件.zip(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15639505),"wbfileid=15639505,owner=1744984858"
