科室,标题,发布日期,详情链接,附件名,附件下载次数,附件链接
【实践科】,关于举办福州大学第九届桥梁设计大赛的通知,2022-11-30,https://jwch.fzu.edu.cn/info/1039/12432.htm,"['附件2：福州大学第九届桥梁设计大赛报名表.doc', '附件3：福州大学第九届桥梁设计大赛-竞赛细则.doc']","['1338', '1752']","['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11827959', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11827960']"
【计划科】,关于2022-2023学年第二学期修读辅修专业学生名单的公示,2022-11-28,https://jwch.fzu.edu.cn/info/1038/12421.htm,,,
【教研教改】,福州大学关于收集线上课程资源需求的通知,2022-11-24,https://jwch.fzu.edu.cn/info/1037/12416.htm,,,
【教学运行】,关于2022-2023学年第一学期《高等数学A（下）》课程期末考试安排的通知,2022-11-24,https://jwch.fzu.edu.cn/info/1036/12415.htm,['2201高数A（下）期末考试12.11上午.xlsx'],['1511'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11826264']
【教学运行】,关于2022-2023学年第一学期计算机语言类课程期末考试安排的通知,2022-11-24,https://jwch.fzu.edu.cn/info/1036/12414.htm,['2201计算机语言课程期末考试12.4.xlsx'],['1407'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11826267']
【教学运行】,关于2022-2023学年第一学期《中国近现代史纲要》课程期末考试安排的通知,2022-11-23,https://jwch.fzu.edu.cn/info/1036/12412.htm,['2201近现代史纲要期末考试.xlsx'],['1499'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11826119']
【教学运行】,关于加强我校本科生转专业面试、笔试监督工作的通知,2022-11-23,https://jwch.fzu.edu.cn/info/1036/12402.htm,,,
【教材中心】,关于做好2022-2023学年第二学期教材选用及征订工作的通知,2022-11-22,https://jwch.fzu.edu.cn/info/1042/12401.htm,"['附件1.已出版马克思主义理论研究和建设工程重点教材目录（截至2022年10月，共计113种）.xlsx', '附件2.全国大中专教学用书目录(2023春).xlsx']","['1628', '1854']","['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11826050', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11826051']"
【教学运行】,关于2022-2023学年第一学期《工程制图E》、《画法几何》课程期末考试安排的通知,2022-11-19,https://jwch.fzu.edu.cn/info/1036/12397.htm,['2201制图E、画法几何期末考试11.26.xlsx'],['1638'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11825533']
【实践科】,关于公布第十六届本科生数学建模竞赛获奖名单的通知,2022-11-18,https://jwch.fzu.edu.cn/info/1039/12396.htm,,,
【教学运行】,关于2022-2023学年第一学期《概率论与数理统计》课程半期考试安排的通知,2022-11-16,https://jwch.fzu.edu.cn/info/1036/12393.htm,['2201概率半期考11.27下午.xlsx'],['1337'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11824716']
【教学运行】,关于2022-2023学年第一学期《高等数学A（上）、B（上）、C（上）、D》课程半期考试安排的通知,2022-11-16,https://jwch.fzu.edu.cn/info/1036/12392.htm,['2201高数半期考11.27上午.xlsx'],['1998'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11824718']
【教学运行】,关于做好2023届预计毕业生电子注册图像采集工作的通知,2022-11-15,https://jwch.fzu.edu.cn/info/1036/12391.htm,,,
【实践科】,关于公布第十四届蓝桥杯全国软件和信息技术专业人才大赛福州大学选拔赛获省赛参赛资格名单的通知,2022-11-11,https://jwch.fzu.edu.cn/info/1039/12381.htm,,,
【计划科】,关于组织申报2022-2023学年第二学期通识教育选修课的通知,2022-11-08,https://jwch.fzu.edu.cn/info/1038/12371.htm,,,
【教学运行】,关于公布2022-2023学年各学院转专业实施细则的通知,2022-11-07,https://jwch.fzu.edu.cn/info/1036/12362.htm,"['关于计算机与大数据等学院转专业实施细则的补充说明.pdf', '2022-2023学年各学院转专业实施细则.pdf']","['4949', '9760']","['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11823291', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11822438']"
【教研教改】,关于举办虚拟教研室建设之课程知识图谱构建专家辅导会暨福州大学第三十八场“教学有道”研讨活动的通知,2022-11-03,https://jwch.fzu.edu.cn/info/1037/12355.htm,,,
【综合科】,教务处关于2023年寒假用印安排的通知,2023-01-09,https://jwch.fzu.edu.cn/info/1035/12531.htm,['教务处2023年寒假用印安排.docx'],['1443'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11925515']
【计划科】,关于核对2022-2023学年第二学期通识教育选修课开课信息的有关通知,2023-01-04,https://jwch.fzu.edu.cn/info/1038/12522.htm,,,
【教学运行】,关于2022-2023学年第二学期辅修专业选课的通知,2023-01-04,https://jwch.fzu.edu.cn/info/1036/12521.htm,,,
【教学运行】,关于2022-2023学年第一学期《高等数学A（上）、B（上）、C（上）、D》课程期末线上考试安排的通知,2023-01-02,https://jwch.fzu.edu.cn/info/1036/12511.htm,['2201高数A（上）、B（上）、C（上）、D 期末考试 2023.1.8.xlsx'],['2145'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11925297']
【教学运行】,关于2022-2023学年第一学期《概率论与数理统计》课程期末线上考试安排的通知,2022-12-29,https://jwch.fzu.edu.cn/info/1036/12501.htm,['2201概率期末考试2023.1.5下午排考版.xlsx'],['2197'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11841253']
【实践科】,关于举办第十三届全国大学生电子商务“三创赛”福州大学校赛的通知,2022-12-27,https://jwch.fzu.edu.cn/info/1039/12496.htm,['附件下载.zip'],['1530'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11840885']
【实践科】,关于做好2023届本科生毕业设计（论文）工作的通知,2022-12-27,https://jwch.fzu.edu.cn/info/1039/12495.htm,['附件：2023届福州大学本科生毕业设计（论文）有关表格.zip'],['4956'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11840884']
【教学运行】,关于2022-2023学年第一学期《线性代数》、《线性代数与解析几何》课程期末线上考试安排的通知,2022-12-26,https://jwch.fzu.edu.cn/info/1036/12492.htm,['2201线代、线代解几12.31下午 (附会议号).xlsx'],['1511'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11840827']
【教学运行】,关于元旦期间教学安排的通知,2022-12-26,https://jwch.fzu.edu.cn/info/1036/12491.htm,,,
【教材中心】,关于开展2023年本科教材审核工作的通知,2022-12-26,https://jwch.fzu.edu.cn/info/1042/13541.htm,"['附件1：福州大学教材管理实施细则（试行）.pdf', '附件3：单位审核意见书（参考模板）.docx', '附件2：福州大学本科教材审核表.docx']","['669', '664', '908']","['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14619311', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14619312', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14619313']"
【实践科】,关于组织参加2023年美国大学生数学建模竞赛的通知,2022-12-19,https://jwch.fzu.edu.cn/info/1039/12481.htm,['附录：2023年美国大学生数学建模竞赛介绍及参赛流程.pdf'],['1886'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11835861']
【教学运行】,关于2022-2023学年第二学期本科生学期选课的通知,2022-12-16,https://jwch.fzu.edu.cn/info/1036/12476.htm,,,
【综合科】,关于召开2022-2023学年秋季学期期末本科教育教学工作会议的通知,2022-12-15,https://jwch.fzu.edu.cn/info/1035/12475.htm,,,
【综合科】,关于评选2022年优秀教学管理人员的通知,2022-12-15,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1035&wbnewsid=12474,"['福州大学2022年优秀教学管理人员申报表.doc', '福大政21-47福州大学关于印发优秀教学管理人员评选办法的通知.pdf']","['1148', '1009']","['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11830327', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11830328']"
【教学运行】,2022年秋季学期期末教学工作安排,2022-12-14,https://jwch.fzu.edu.cn/info/1036/12472.htm,,,
【教学运行】,关于2022-2023学年第一学期《工程制图A（上）、C（上）、D、F》课程期末考试安排的通知,2022-12-09,https://jwch.fzu.edu.cn/info/1036/12463.htm,['2201制图A、C、D、F期末考试 12.18上午.xlsx'],['1382'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11829500']
【实践科】,关于做好2022年省级（含）以上大学生创新创业训练计划项目和第二十八期本科生科研训练计划项目中期检查工作的通知,2022-12-08,https://jwch.fzu.edu.cn/info/1039/12462.htm,['附件.zip'],['3084'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11829326']
【教学运行】,关于2022级期末相关教学安排的通知,2022-12-08,https://jwch.fzu.edu.cn/info/1036/12461.htm,,,
【教学运行】,关于2022-2023学年第一学期《习近平新时代中国特色社会主义思想概论》课程期末考试安排的通知,2022-12-06,https://jwch.fzu.edu.cn/info/1036/12454.htm,['2201习近平概论期末考安排.xlsx'],['2615'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11828618']
【教学运行】,关于2022-2023学年第一学期《马克思主义基本原理》课程期末考试安排的通知,2022-12-06,https://jwch.fzu.edu.cn/info/1036/12453.htm,['2201马克思主义基本原理期末考安排.xlsx'],['1590'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11828617']
【实践科】,关于做好第二十九期本科生科研训练计划项目立项工作的通知,2023-03-10,https://jwch.fzu.edu.cn/info/1039/12622.htm,['第29期SRTP附件.zip'],['4290'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11990101']
【教学运行】,关于2022-2023学年第二学期重新学习选课、缴费的通知,2023-03-07,https://jwch.fzu.edu.cn/info/1036/12619.htm,,,
【实践科】,关于上报2023年各学院新时代劳动教育实施计划的通知,2023-03-03,https://jwch.fzu.edu.cn/info/1039/12614.htm,['福大教21-13福州大学关于印发《福州大学关于新时代劳动教育的实施方案（暂行）》的通知.pdf'],['1187'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11988731']
【实践科】,关于福州大学参加2023年第九届全国大学生统计建模大赛的通知,2023-03-03,https://jwch.fzu.edu.cn/info/1039/12613.htm,,,
【实践科】,关于组织参加2023年美国大学生数学建模春季MCM/ICM赛的通知,2023-03-01,https://jwch.fzu.edu.cn/info/1039/12601.htm,['2023年美国大学生数学建模春季MCMICM赛介绍及参赛流程.pdf'],['3929'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11988018']
【计划科】,关于公布2022-2023学年第二学期通选课取消开课名单的通知,2023-02-27,https://jwch.fzu.edu.cn/info/1038/12592.htm,,,
【综合科】,关于2022-2023学年第二学期本科生学生证和火车票优惠卡补办及火车票优惠卡更改区间的通知,2023-02-21,https://jwch.fzu.edu.cn/info/1035/12568.htm,,,
【教学运行】,关于2023届预计毕业生校对电子注册学历照片的通知,2023-02-21,https://jwch.fzu.edu.cn/info/1036/12567.htm,,,
【实践科】,关于组织参加第十四届全国周培源大学生力学竞赛的通知,2023-02-21,https://jwch.fzu.edu.cn/info/1039/12566.htm,"['关于组织参加第十四届全国周培源大学生力学竞赛的通知.docx', '第十四届全国周培源大学生力学竞赛报名表.xls']","['1809', '1617']","['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11930610', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11930611']"
【实践科】,关于2023届本科毕业生创新创业实践与素质拓展学分认定工作的通知,2023-02-20,https://jwch.fzu.edu.cn/info/1039/12565.htm,['学分认定申请表格.zip'],['2617'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11930525']
【教学运行】,关于2022-2023第二学期辅修专业补退选、缴费的通知,2023-02-20,https://jwch.fzu.edu.cn/info/1036/12564.htm,,,
【实践科】,关于对2022年学院教学有关数据进行统计的通知,2023-02-19,https://jwch.fzu.edu.cn/info/1039/12563.htm,['2022年学院教学有关数据统计表格下载.zip'],['1106'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11930381']
【质量办】,关于开学第一周集中听课的通知,2023-02-19,https://jwch.fzu.edu.cn/info/1040/12562.htm,"['附件1：福州大学课堂教学质量评估表（理论课）.doc', '附件3：福州大学党政领导听课管理实施办法（福大教〔2022〕27号）.doc', '附件2：2022-2023学年第二学期第一周课表.xlsx']","['1167', '1105', '1484']","['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11930357', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11930359', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11930358']"
【教学运行】,关于2022-2023第二学期学期选课补退选的通知,2023-02-19,https://jwch.fzu.edu.cn/info/1036/12561.htm,,,
【计划科】,关于报名参加2022-2023学年第二学期国情教育网络培训的通知,2023-02-18,https://jwch.fzu.edu.cn/info/1038/12555.htm,,,
【计划科】,关于2022-2023学年第二学期港澳台侨学生思政课和军事课程退选替代的通知,2023-02-17,https://jwch.fzu.edu.cn/info/1038/12553.htm,['2022-2023学年第二学期国情课列表.docx'],['1689'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11930286']
【计划科】,关于2022-2023学年第二学期通识教育选修课选课的通知,2023-02-17,https://jwch.fzu.edu.cn/info/1038/12552.htm,['爱课程学生注册与选课指南.doc'],['2512'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11930249']
【实践科】,关于常态化本科生实习教学工作的通知,2023-02-14,https://jwch.fzu.edu.cn/info/1039/12551.htm,,,
【教学运行】,2023年春季学期开学教学工作安排,2023-02-03,https://jwch.fzu.edu.cn/info/1036/12542.htm,,,
【教学运行】,关于2023年春季学期《大学物理实验》绪论课程教室安排的通知,2023-01-11,https://jwch.fzu.edu.cn/info/1036/12532.htm,['2023大物实验绪论（挂教务处） - 新.xlsx'],['1030'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11930095']
【实践科】,关于组织开展第十六届中国大学生计算机设计大赛校内预选赛的通知,2023-04-07,https://jwch.fzu.edu.cn/info/1039/12673.htm,"['附件1：2023年（第16届）4C大赛通知（中大计赛函[2023]1号）.pdf', '附件2：2023年计算机设计大赛省级赛公告.pdf', '附件3 2023年（第16届）中国大学生计算机设计大赛——校内选拔赛报名表.xlsx']","['1651', '1862', '1335']","['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12212463', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12212465', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12212464']"
【实践科】,关于举办福州大学第三届大学生先进成图技术与产品信息建模创新大赛的通知,2023-04-07,https://jwch.fzu.edu.cn/info/1039/12672.htm,['附件2：福州大学第三届大学生先进成图技术与产品信息建模创新大赛报名表.xls'],['1321'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12212445']
【教学运行】,关于2022-2023学年第二学期《高等数学》课程半期考试安排的通知,2023-04-07,https://jwch.fzu.edu.cn/info/1036/12671.htm,['2202高数半期考4.16上午.xlsx'],['1425'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12212349']
【教学运行】,关于2022-2023学年第二学期《线性代数》课程半期考试安排的通知,2023-04-06,https://jwch.fzu.edu.cn/info/1036/12667.htm,['2202线代半期考4.22下午.xlsx'],['1179'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12212082']
【教学运行】,关于2023年清明节放假课程调整的通知,2023-04-03,https://jwch.fzu.edu.cn/info/1036/12666.htm,,,
【实践科】,关于举办福州大学第十四届企业经营模拟沙盘对抗赛的通知,2023-03-31,https://jwch.fzu.edu.cn/info/1039/12665.htm,['附件：福州大学第十四届企业经营模拟沙盘对抗赛报名表.doc'],['1185'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12210538']
【实践科】,关于开展2023年省级大学生学科专业竞赛项目申报工作的通知,2023-03-29,https://jwch.fzu.edu.cn/info/1039/12660.htm,"['附件1：福建省高校大学生学科专业竞赛管理办法（试行）.pdf', '附件2：福建省高校大学生学科专业竞赛项目申请表.doc']","['1547', '1428']","['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11995879', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11995878']"
【质量办】,关于正式启用福州大学课堂教学督导管理系统的通知,2023-03-27,https://jwch.fzu.edu.cn/info/1040/12657.htm,['附件：福州大学课堂教学督导管理系统操作指南（学院）.doc'],['1394'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11994720']
【实践科】,关于转发福建省教育厅《关于印发<福建省高校大学生学科专业竞赛管理办法（试行）>的通知》的通知,2023-03-27,https://jwch.fzu.edu.cn/info/1039/12656.htm,['闽教规〔2023〕2号福建省教育厅关于印发《福建省高校大学生学科专业竞赛管理办法（试行）》的通知.pdf'],['1997'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11994703']
【综合科】,关于召开2022-2023学年春季学期期初本科教育教学工作会议的通知,2023-03-24,https://jwch.fzu.edu.cn/info/1035/12655.htm,,,
【教材中心】,2023年第二届福建省高校教材联合巡展（福州大学）活动通知,2023-03-23,https://jwch.fzu.edu.cn/info/1042/12654.htm,,,
【教学运行】,关于做好2023年3月参军退役复学学生转专业工作的通知,2023-03-22,https://jwch.fzu.edu.cn/info/1036/12650.htm,"['福州大学本科生转专业管理实施办法（暂行）.docx', '福州大学参军退伍复学后学生转专业审批表.doc']","['1468', '1365']","['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11992244', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11992245']"
【计划科】,关于2022-2023学年第二学期爱课程平台参加通识教育选修课学习的重要提示,2023-03-21,https://jwch.fzu.edu.cn/info/1038/12649.htm,,,
【教学运行】,关于做好2023-2024学年第一学期排课准备工作的通知,2023-03-21,https://jwch.fzu.edu.cn/info/1036/12648.htm,,,
【实践科】,关于举办2023年福州大学大学生电子设计竞赛暨全国大学生电子设计竞赛选拔赛的通知,2023-03-17,https://jwch.fzu.edu.cn/info/1039/12646.htm,,,
【质量办】,关于上报2023年各学院本科教育教学质量保障工作计划的通知,2023-03-17,https://jwch.fzu.edu.cn/info/1040/12645.htm,"['附件1：福州大学关于进一步完善本科教育教学质量保障体系的实施意见.doc', '附件2：福州大学本科教学质量监控与持续改进管理实施办法.doc']","['1342', '1374']","['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11990962', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11990963']"
【综合科】,教务处关于暂停对外办公的通知,2023-03-15,https://jwch.fzu.edu.cn/info/1035/12641.htm,,,
【实践科】,关于举办福州大学第九届“汇仟杯”测量大赛的通知,2023-03-14,https://jwch.fzu.edu.cn/info/1039/12633.htm,"['附件2 ：福州大学第九届“汇仟杯”测量大赛竞赛细则.docx', '附件3：福州大学第九届“汇仟杯”测量大赛报名表.docx', '附件4：路线参考.docx', '附件5：比赛记录表.docx']","['3423', '1418', '1110', '1337']","['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11990523', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11990524', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11990522', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11990525']"
【实践科】,关于举办福州大学第十二届大学生软件设计与服务外包创新创业竞赛的通知,2023-03-14,https://jwch.fzu.edu.cn/info/1039/12632.htm,,,
【计划科】,关于通识选修课《爱课程：美化嗓音 轻松讲课》开课的友情提示 ,2023-03-13,https://jwch.fzu.edu.cn/info/1038/12631.htm,,,
【教学运行】,关于2022-2023学年第二学期计算机语言类课程期末考试安排的通知,2023-05-12,https://jwch.fzu.edu.cn/info/1036/12761.htm,['2202计算机语言期末考试5.28.xlsx'],['1264'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12222774']
【质量办】,关于举办福州大学第四十场“教学有道”研讨活动的通知,2023-05-12,https://jwch.fzu.edu.cn/info/1040/12760.htm,,,
【质量办】,关于开展2023届本科毕业生座谈会的通知,2023-05-12,https://jwch.fzu.edu.cn/info/1040/12759.htm,,,
【实践科】,关于公布福州大学第九届“汇仟杯”测量大赛获奖名单的通知,2023-05-08,https://jwch.fzu.edu.cn/info/1039/12750.htm,,,
【计划科】,2022-2023学年第二学期在校学生申请辅修专业的通知,2023-05-08,https://jwch.fzu.edu.cn/info/1038/12749.htm,,,
【教研教改】,福州大学关于开展2022-2023学年本科教学优秀奖评选工作的通知,2023-05-05,https://jwch.fzu.edu.cn/info/1037/12747.htm,"['附件1：福州大学本科教学优秀奖评选办法.doc', '附件2：福州大学2022-2023学年教学优秀奖申报简表.doc', '附件4：各教学单位2022-2023学年教学优秀奖二等奖和三等奖名额分配表.docx', '附件3：福州大学2022-2023学年教学优秀奖申报汇总表.xls']","['1509', '1283', '1612', '1333']","['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12219565', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12219566', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12219568', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12219567']"
【质量办】,关于举办福州大学第三十九场“教学有道”研讨活动的通知,2023-05-05,https://jwch.fzu.edu.cn/info/1040/12746.htm,,,
【实践科】,关于组织申报2023年本科生开放探索性实验项目（课程）的通知,2023-05-05,https://jwch.fzu.edu.cn/info/1039/12745.htm,,,
【实践科】,关于开展2023届本科毕业设计（论文）抽检送审工作的通知,2023-04-26,https://jwch.fzu.edu.cn/info/1039/12723.htm,"['3附件2：2023届福州大学本科毕业设计（论文）抽检情况汇总表.xlsx', '3附件1：福建省本科毕业论文（设计）抽检评议要素（试行）.docx']","['3568', '2741']","['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12218055', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12218054']"
【实践科】,关于对2023届本科毕业设计（论文）进行查重检测的通知,2023-04-26,https://jwch.fzu.edu.cn/info/1039/12722.htm,['2附件：维普论文检测系统查重标准及格式报告说明.doc'],['7333'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12218050']
【实践科】,关于试用本科毕业设计（论文）管理模块的通知,2023-04-26,https://jwch.fzu.edu.cn/info/1039/12721.htm,['1附件：福州大学本科毕业设计（论文）管理模块操作指南.doc'],['2657'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12218049']
【教学运行】,关于2022-2023学年第二学期《工程制图E》课程期末考试安排的通知,2023-04-25,https://jwch.fzu.edu.cn/info/1036/12718.htm,['2202制图E期末考试5.14上午.xlsx'],['961'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12219851']
【教学运行】,关于2023届预计毕业生补拍电子注册学历照片的通知,2023-04-24,https://jwch.fzu.edu.cn/info/1036/12716.htm,['附件：获得图像采集码途径.pdf'],['2411'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12216500']
【实践科】,关于举办福州大学第十七届数学建模竞赛暨2023年全国大学生数学建模竞赛集训队选拔的通知,2023-04-20,https://jwch.fzu.edu.cn/info/1039/12714.htm,,,
【教学运行】,关于2023年五一节放假课程调整的通知,2023-04-19,https://jwch.fzu.edu.cn/info/1036/12712.htm,,,
【教学运行】,关于2022-2023学年第二学期《大学物理》课程半期考试安排的通知,2023-04-19,https://jwch.fzu.edu.cn/info/1036/12711.htm,['2202大物半期考5.7下午.xlsx'],['1049'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12215056']
【实践科】,关于举办2023年福州大学第二十三届数学竞赛暨第十五届全国大学生数学竞赛选拔赛的通知,2023-04-17,https://jwch.fzu.edu.cn/info/1039/12702.htm,['附件3：福州大学第二十三届数学竞赛大纲.pdf'],['3724'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12214628']
【实践科】,关于举办福州大学第十三届大学生节能减排社会实践与科技竞赛暨第九届材料创新、设计及应用竞赛的通知,2023-04-15,https://jwch.fzu.edu.cn/info/1039/12701.htm,,,
【实践科】,关于举办福州大学第二十届程序设计竞赛暨校ACM/ICPC集训队选拔赛的通知,2023-04-14,https://jwch.fzu.edu.cn/info/1039/12695.htm,,,
【实践科】,关于举办福州大学第七届网络信息安全竞赛的通知,2023-04-13,https://jwch.fzu.edu.cn/info/1039/12694.htm,,,
【实践科】,关于公布福州大学第九届桥梁设计大赛获奖名单的通知,2023-05-30,https://jwch.fzu.edu.cn/info/1039/12803.htm,,,
【实践科】,关于公布福州大学第十三届大学生节能减排社会实践与科技竞赛暨第九届材料创新、设计及应用竞赛获奖名单的通知,2023-05-30,https://jwch.fzu.edu.cn/info/1039/12802.htm,,,
【实践科】,关于公布福州大学第三届大学生先进成图技术与产品信息建模创新大赛获奖名单的通知,2023-05-30,https://jwch.fzu.edu.cn/info/1039/12801.htm,,,
【教学运行】,关于2022-2023学年第二学期《思想道德与法治》课程期末考试安排的通知,2023-05-26,https://jwch.fzu.edu.cn/info/1036/12798.htm,['2202 思想道德与法治 随堂考安排.xlsx'],['1121'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12991703']
【教学运行】,关于2022-2023学年第二学期《毛泽东思想和中国特色社会主义理论体系概论》课程期末考试安排的通知,2023-05-26,https://jwch.fzu.edu.cn/info/1036/12797.htm,['2202 毛泽东思想概论 随堂考安排.xlsx'],['1186'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12991684']
【教学运行】,关于2022-2023学年第二学期《马克思主义基本原理》课程期末考试安排的通知,2023-05-26,https://jwch.fzu.edu.cn/info/1036/12796.htm,['2202 马克思主义基本原理 随堂考安排.xlsx'],['1613'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12991629']
