programName,difficulty,techTag,Introduce,OutputRequirements
基于MindSpore实现化学材料AI 大模型MoMa的开发及性能优化,进阶,"[[""datas"",""AI""]]",基于MindSpore+NPU进行创新：（1）基于用户模型代码生成MindSpore 计算图，根据模块化计算模型具备动态分支模块与静态结构模块的特点，实现动态+静态编译结合的计算图，并基于此计算图进行性能优化的策略寻优与计算加速，既满足动态分支部分模型对框架灵活性的需求，又能将静态结构模型的优化空间最大化。（2）针对模块化大模型基于运行中间结果选择分支的计算特点，探索动态计算图的并行计算加速策略，基于MindSpore 算子粒度切分的并行切分机制，对模型进行不同并行切分策略下的代价计算，以模型通信、数据通信、计算效率为参考实现并行切分策略的递归搜索，实现最优的计算图切分，实现训练与推理加速。,1. 完成基于MindSpore+NPU的MoMa模型开发。2. 支持模块化计算、具备动态分支的模型在分布式系统中运行速度的优化与提升，在同等算力下，模型取得同等精度所需训练时间缩短30%以上。
openGauss 向量数据库 AI 数据 ETL 框架最佳实践输出,基础,"[[""datas"",""AI""],[""datas"",""Database""]]",完成 Apache Kafka、Firecrawl、VectorETL 对接 openGauss 最佳实践教程输出,1. 基于 openGauss 部署指导文档，完成openGauss Docker 部署2. 参考 Milvus weaviate 等文档，完成 Apache Kafka、Firecrawl、VectorETL 对接 openGauss 最佳实践教程输出3. 将文档提交至 openGauss 社区
为 NestOS 适配 RISC-V 架构,进阶,"[[""os"",""RISC-V""],[""dev"",""GitLab CI/CD""]]",项目描述：清楚描述本项目背景以及要做什么。（1）相关背景NestOS 是基于 openEuler 社区孵化的云底座操作系统，目前仅支持 x86_64 与 aarch64。RISC‑V 硬件生态快速发展，越来越多的云平台与边缘设备采用 RISC‑V 架构。NestOS 具备 rpm‑ostree、Ignition、双根文件系统原子化更新等先进特性，非常适合作为 RISC‑V 上的云原生操作系统底座。（2）已有的工作openEuler RISC‑V SIG 已完成对 openEuler Kernel 的 RISC‑V 引导与内核移植。核心组件（ostree、rpm‑ostree、Butane）已有部分 RISC‑V 移植分支。nestos‑assembler 容器镜像尚未支持 RISC‑V 构建流程。（3）存在的不足构建脚本和 CI/CD 流水线缺少 RISC‑V 交叉编译与打包支持。（4）希望改进的点完善 nestos‑assembler 对 RISC‑V 的支持，包含交叉编译、qemu 测试与镜像产出。（5）最终项目实现的目标能够一键在 x86_64 CI 环境中生产 RISC‑V QCOW2、ISO、PXE、OpenStack 镜像。,1. 可在 x86_64 构建服务器上运行的 nestos‑assembler RISC‑V 构建脚本。2. 基于 qemu 的 RISC‑V 镜像（QCOW2、ISO、PXE、OpenStack）。3. CI/CD 流水线配置示例（GitLab CI 或 GitHub Actions）。4. 完整的用户指南：第 7、8 章新增 RISC‑V 构建与部署内容。
为洛书语言编写交互式学习手册,基础,"[[""codelang"",""Programming Language""]]",本项目要求为处于Beta阶段的洛书 v2.x 版本制作一份交互式学习手册，并以在线站点的形式部署至社区服务器，内容包括：安装与入门、程序结构、数据类型与编码技巧等。该手册要求具备交互式运行支持，基于WASM技术提供 Play Ground 环境，使得用户可以在浏览器环境下体验手册中的样例代码。,1. 根据社区工作进展，完成文档内容编写，要求使用 MarkDown 格式2. 接入交互式运行功能，实现基于浏览器的 PlayGround 环境3. 将项目打包部署至社区服务器
安同 OS Python 2 清除计划,进阶/Advanced,"[[""web"",""Desktop Application""],[""dev"",""CI""],[""dev"",""CD""],[""os"",""Clang""],[""os"",""Debian""],[""os"",""Compiler""],[""os"",""GCC""],[""os"",""Linux""],[""os"",""LLVM""],[""os"",""RISC-V""],[""codelang"",""Programming Language""]]",Python 2.7 已于 2020 年 1 月 1 日正式停止维护，标志着 Python 2 官方支持的终止。然而截至目前，安同 OS（AOSC OS）中仍存在大量 Python 2 软件包及其依赖项，这些残留导致安同 OS 仍需预装 Python 2，这些工作都意味着我们需要重新调查这些软件包的依赖关系、上游更改和代码兼容性，并在必要时编写补丁进行移植。目前，安同 OS 尚有至少 300 个软件包依赖 Python 2。由于 Python 2 不再提供安全补丁与功能更新，继续依赖 Python 2 将导致系统存在潜在的安全隐患及维护负担，并可能拖慢系统更新。本项目的主要目标是彻底移除安同 OS 软件仓库中的 Python 2 相关软件包和依赖，全面迁移至 Python 3。,"1. 在安同 OS 的软件仓库中彻底移除 Python 2，并在符合社区《软件包样式指南》要求的前提下提交相关的代码并进行充分测试和验证工作，完成现有 Python 2 软件包向 Python 3 的依赖迁移、移植或替换工作
2. 对上述软件包逐个进行评估，确认其是否完成 Python 3 移植，或寻找替代软件
3. 使用现有设施（如软件包信息站 packages.aosc.io 及 breaker 脚本等）分析目前依然存在的 Python 2 模块及 ELF 依赖
4. 如有必要，开发 shebang（#! 文件头）依赖分析工具"
llvm与gcc兼容性增强——模板调构造函数使用auto,进阶,"[[""os"",""GCC""],[""os"",""LLVM""]]",llvm和gcc是当下主流的C、C++编译器。应用使用不同编译器编译构建，可能遇到编译或者运行的兼容性问题。为降低客户在从gcc迁移至llvm过程中的人力投入，提升客户体验，需要在llvm编译器中对兼容性进行增强，支持对应场景，例如如下在调用析构函数时使用auto的场景：templatevoid f (T* p){p->~auto(); // p->~T();}int d;struct A { ~A() { ++d; } };int main(){f(new int(42));f(new A);if (d != 1)throw;return 0;}该场景gcc可以编译通过，llvm编译会提示如下报错：test.cpp:4:7: error: expected a class name after '~' to name a destructor4 | p->~auto(); // p->~T();| ^1 error generated.将auto改为对应类型名称后LLVM可以编译通过。出于兼容性考虑，希望可以兼容对应用法。,1. 调研GCC编译器对于对应场景的支持，测试用例迁移，并基于LLVM编译器对对应场景进行兼容2. 针对项目描述中代码中模版函数使用auto的场景，基于LLVM编译器支持可以编译和执行，效果和gcc编译器一致
基于 Node.js 和 Docker 实现的通用游戏服务端程序控制面板,基础/Basic,"[[""dev"",""DevOps""],[""web"",""Vue.js""],[""safe"",""Socket""],[""safe"",""WebSocket""],[""web"",""Webpack""],[""web"",""Web Application""]]",是一款，支持 Minecraft 和大部分 Steam 游戏服务器的 Web 控制面板。此软件在和部分能局域网联机的游戏社区内中已有一定的流行程度，它可以帮助你集中管理多个物理服务器，实现在任何主机上创建游戏服务器，并且提供安全可靠的多用户权限系统，可以很轻松的帮助你管理多个服务器，一直在为，和游戏服务器的管理员，运维人员和个人开发者提供健康的软件支持。1. 支持 Minecraft 和 Steam 游戏 服务器。2. 支持分布式架构，组织多台机器。3. 可拖拽，可高度自定义的网页 UI。4. 支持运行所有 Docker 镜像。5. 多用户管理，资源分配，商业出租。6. 安装简单，一键快速开服。1. NodeJS 生态（90%）后端：Koa，Socket.io，Docker API。前端：Vue3，Vueuse，Antdv。2. Golang 生态（10%）目前团队内的开发者均为用爱发电，大部分为大学生，少部分上班族，有菜鸡也有大佬，主要是中国大陆开发者为主，少数几个不怎么活跃的海外地区开发者。他们来自五湖四海，包容性强，只要你愿意学习，懂一些全栈开发，熟悉子进程控制知识，操作系统基本功，熟悉IO流编程，Docker 生态即可。拒绝有实力但不屑一顾，自恃清高，能用就行态度的学生。,1.为 MCSManager 提升基于 Docker 的可靠性，即主程序崩溃并重启后，能够重新接管存活的 Docker 容器的能力2. 开发 MCSManager 分布式的文件上传能力，实现切片文件上传，断点续传能力3. 修复一些项目上的BUG，提升项目运行稳定性4. (可选项) 实现兼容 Docker for Windows。
openInula 2.0 Antd 核心组件库,进阶,"[[""web"",""React""],[""web"",""UI""],[""web"",""Webpack""],[""web"",""Web Application""]]",openInula2.0 是一个新兴的前端框架，但目前缺乏一套完整的 UI 组件库支持。本项目旨在基于 Ant Design（Antd）的设计规范，开发一套轻量级的核心组件库，为开发者提供高效、易用的基础组件。相关背景：Antd 是 React 生态中广泛使用的 UI 组件库，但 openInula2.0 作为新框架，需要兼容其特性的组件库。已有工作：Antd 的开源代码和设计规范可作为参考。存在的不足：openInula2.0 尚未有官方支持的组件库，开发者需要手动适配 Antd 组件。实现目标：提供一套稳定、高效的 openInula2.0 版 Antd 基础组件库，支持常见场景的开发需求，包括：DatePicker (日期选择框)Form (表单)Tooltip (文字提示)Tree (树形控件）,1.  输出要求的 openInula2.0组件及测试代码2.  完善的文档，包括架构设计、API说明、使用指南和开发文档
OpenFDE的任务管理器,基础,"[[""web"",""AndroidX""]]",项目概述OpenFDE 是一款在 Linux 系统上运行的桌面环境，它支持 Linux 和 Android 应用的原生执行。通过 OpenFDE，用户可以无缝运行丰富的 Linux 和 Android 应用程序及游戏，享受一致的使用体验。目前，OpenFDE 缺乏一款能够同时管控 Linux 和 Android 程序的任务管理器。当某些应用出现内存泄漏或用户同时开启多个大型应用时，可能会导致系统卡顿。在这种情况下，用户往往难以直观地排查问题原因，从而影响使用体验。为了解决这一问题，我们计划开发一款专为 Android PC 化设计的任务管理器。这款工具将能够监控和管理整个设备上正在运行的进程和应用程序，帮助用户实时了解系统资源使用情况，并提供便捷的管理功能，以优化系统性能和稳定性。,"1. 提供Android和Linux 程序详细进程信息，包括 CPU、内存、磁盘和网络使用情况。
2.支持结束进程、启动进程。
3.提供服务管理功能，允许用户启动、停止系统服务。
4.图形化界面，易于操作并提供详细的帮助文档和提示，方便新手用户。"
基于django后端vue前端使用nump处理空数据,基础/Basic,"[[""web"",""Django""],[""os"",""Linux""]]",kytuning是一款自动化基准性能测试工具，能够在页面中展示性能数据。目前kytuning能够正常进行性能测试，性能测试完成后返回服务端测试结果，并能够把测试结果展示在页面中供用户查看，但当数据为空时会导致数据获取失败，其它数据的对比信息也无法展示，本题希望使用nump处理空数据，即使某组或某个数据未获取也不影响其它数据的对比展示。,1、当stream、unixbench、unixbench、lmbench、fio、iozone、jvm2008、cpu2006、cpu2017数据存在空数据时，目前会存在未处理空数据导致页面无法正常显示，此项目希望能够处理空数据，让页面中其他的对比信息能够正确返回。
实现在openGemini Go/JAVA客户端中无缝集成OpenTelemetry,基础,"[[""dev"",""DevOps""],[""datas"",""Database""]]","实现openGemini的Go/Java客户端深度集成OpenTelemetry，为开发者提供​​零侵入、全链路、多维度​​的观测能力，助力构建云原生时代的高效诊断体系。通过标准化协议对接，用户无需修改业务代码即可将数据库请求链路与OpenTelemetry生态无缝打通，实现​链路追踪。通过该功能，开发和运维人员可以实时观测客户端的行为，对异常、性能瓶颈等问题进行快速定位和追踪，同时便于与社区通用可观测性平台集成。在Go/Java Client中实现Otel Collector，采集客户端查询与写入操作的相关信息，如""请求的耗时""、""响应状态""、""错误信息""等。写入到Jaeger中进行数据存储。opentelemetry应用开发Demo链接：https://github.com/open-telemetry/opentelemetry-go-contrib/tree/main/examplesopenGemini-go-client: https://github.com/openGemini/opengemini-client-goopenGemini-java-client: https://github.com/openGemini/opengemini-client-java",1. 完成项目的设计、开发、测试并提供架构和使用以及二次开发的文档2. 设计时应符合高可配置性，用户可自定义采集级别和导出端点(exporter)。模块应与现有openGemini 客户端解耦，不影响现有功能的正常运行。3. 符合 openGemini开源社区贡献规范，PR 包含具体开发说明与使用演示4. 开发完成后合入社区相应代码仓
基于LiteFlow框架开发大模型插件以实现类Dify的后端智能体应用表达式编排能力,进阶,"[[""datas"",""AI""],[""web"",""Spring Boot""]]",LiteFlow是国内知名的Java规则引擎，目前被应用在数千家企业核心业务侧，社区人数众多，活跃度高。目前LiteFlow被广泛应用在逻辑编排场景，拥有灵活的DSL规则表示式以及支持度广泛的脚本语言，实用性和特性都非常适合业务复杂的应用侧。随着AI大模型的兴起，社区很多开发者把LiteFlow当做一个“后端Dify”来构造自己的智能体逻辑流。并且已经有相当一部分的社区同学已经成功落地了。但是LiteFlow并没有从框架层面对大模型有任何支持，LiteFlow目前提供的组件是极其开放的，大模型实现的部分还需要开发者自己去实现的。所以这次的课题的目标就是为LiteFlow打造一个AI大模型支持的插件，开发者不用自己再去对接大模型，能够直接引用AI插件已定义好的大模型的各种组件加上LiteFlow原有的强大的编排能力形成一个智能体逻辑流程。这次课题需要涉及当下大模型中的大部分知识块，包括但不仅限于对接主流平台的API，RAG，FunctionCall，MCP等相关概念。,1. 为LiteFlow开发liteflow-ai插件模块2. 为大模型插件提供完善的测试用例工程liteflow-ai-test模块，需要对每一个细分功能点，场景进行支持3. 为开发好的liteflow-ai插件创建演示工程liteflow-ai-example工程，综合利用liteflow-ai开发的演示工程。
为 treeland 实现锁屏管理协议,进阶/Advanced,"[[""web"",""Qt""],[""os"",""Wayland""]]",Treeland 是一个基于 Wayland 协议的合成器，致力于提供轻量级、模块化且可扩展的桌面环境体验。随着  Wayland 生态的完善，ext-session-lock-v1 协议已经成为管理会话锁定（如锁屏）的标准接口。当前 Treeland  尚未支持该协议，无法与 linux 社区广泛使用的锁屏应用兼容。本项目旨在为 Treeland 实现完整的  ext-session-lock-v1 协议支持，提升其功能完整性和生态兼容性。waylib 是 treeland 的核心开发库，提供了 wlroot 的 QtQuick 风格封装，此任务的核心工作在于完善此开发库。,1. 可以运行 swaylock ，hyprlock 等使用 ext-session-lock 协议的客户端，完成锁屏
为 Dubbo Admin 实现多种部署模式和 AI 智能管控运维能力,进阶,"[[""cloudnative"",""Cloud Native""],[""dev"",""LLMOps""],[""datas"",""AI""]]",1. Dubbo Admin作为宏观的控制中心，需要对运行在k8s以及非k8s环境下的Dubbo微服务进行统一的服务管理，流量管控。目前Dubbo微服务有三种形态：a. universal模式，该模式下dubbo微服务使用传统注册中心（nacos，zookeeper）进行服务发现，运行环境为虚拟机或其他非k8s环境。b. half模式，该模式下dubbo微服务使用传统注册中心进行服务发现，使用k8s作为运行的基础设施。c. k8s模式，该模式使用istio和k8s作为注册中心和运行基座。目前Admin已经支持了前两种，需要对第三种模式进行完善。2. 随着微服务集群规模的扩大，企业内异地多活，容灾备份的场景越来越常见。Admin需要对多注册中心，多k8s集群进行支持。3. Dubbo Admin作为统一的控制面，可以掌握到数据面的运行时数据，服务发现数据，以及可观测数据。当数据面中某个微服务出现问题时，利用服务运行信息以及监控（metric），日志（log），链路追踪（trace）等数据，结合llm，agent等技术，在Admin控制台中提供一个智能机器人，给开发者提供可能的排查方向和问题根源。,"1. 完善 Dubbo Admin 多种部署模型能力的支持
2. 提供结合 AI 进行问题诊断能力"
DragonOS云厂商移植支持,进阶,"[[""cloudnative"",""Cloud Native""],[""os"",""Linux""],[""os"",""x86""]]",DragonOS 是一个自主研发、基于 Rust 编写的现代化操作系统，目前已支持在腾讯云CVM上运行。然而，在实际运行中尚存在网络等关键功能不完善的问题，以及一些稳定性问题。例如，运行于腾讯云的 DragonOS  CVM实例，目前暂时无法稳定响应 HTTP 请求。本项目旨在进一步提升 DragonOS 在各大云平台上的可用性与稳定性，主要目标包括：,1. 将DragonOS移植至2个及以上的云平台，包括腾讯云、阿里云、华为云。能够正常进入用户态，并完成内核及启动流程的适配2. 移植sshd，能够通过ssh连接DragonOS3. 成功在DragonOS上部署 Nginx，提供静态网页服务：可通过公网访问，稳定运行72小时以上4. 实现DraconConfig自动初始化工具：主要包括网络配置模块、移植必要的网络管理工具等5. 技术文档与操作手册：提供完整的文档体系，支撑用户与开发者的使用与二次开发。
在skywalking-go中增加trace profiling功能,进阶/Advanced,"[[""dev"",""DevOps""],[""dev"",""DevSecOps""]]","目前skywalking-go已经实现对诸多插件的trace追踪, 在此基础上便可以结合pprof中的labels功能中将trace和goroutine中的profiling分析相互绑定并分析, 最终可以在UI中展示出火焰图此功能为新功能，需要和导师沟通功能范围，和提交设计和实现方案。","1. 完成Trace Profiling功能, 并且完成E2E自动化验证"
增强Volcano Agent以支持Cgroup V2与Systemd,基础/Basic,"[[""cloudnative"",""Docker""],[""cloudnative"",""Kubernetes""],[""os"",""Cgroups""],[""os"",""Linux""]]",Volcano Agent 是云原生混部场景下的核心 SLO (Service Level Objective) Agent，通过统一调度、资源隔离和动态资源超卖等机制提高了资源利用率，并通过 OoS (Out-of-Service) 保障机制确保高优先级任务的服务质量。当前，Volcano Agent 主要支持 Cgroup v1，这与目前主流操作系统逐步迁移至 Cgroup v2 和 Systemd 的趋势不符，同时也限制了与配置不同的 Kubelet 节点的兼容性，阻碍了端到端混部能力的完整实现。本项目旨在增强 Volcano Agent 的基础能力，使其能够原生支持 Cgroup v2 和 Systemd。通过适配新的资源管理机制，Volcano Agent 将能更好地与现代操作系统集成，并与配置不同的 Kubelet 节点协同工作，为用户提供一致的混部体验，从而进一步完善其在云原生混部场景下的资源管理和 SLO 保障能力。,1. 支持 Cgroup v2 的 Volcano Agent: 提供能够与 Cgroup v2 系统正常工作的 Volcano Agent 版本。2. 支持 Systemd 的 Volcano Agent: 提供能够与 Systemd 系统良好集成的 Volcano Agent 版本。3. Kubelet cgroup-driver 兼容性: 实现与 Kubelet 不同 cgroup-driver 配置（包括 systemd 和 cgroupfs）的兼容性，确保 Volcano Agent 在不同配置下都能正确运行和管理资源。4. 功能测试与验证: 提供充分的单元测试、集成测试和端到端测试，验证 Volcano Agent 在 Cgroup v2 和 Systemd 环境下的核心功能（统一调度、动态资源超卖、OoS 保障等）的正确性，并验证与不同 Kubelet cgroup-driver 的兼容性。5. 配置和部署文档更新: 更新 Volcano Agent 的配置和部署文档，详细说明如何在 Cgroup v2 和 Systemd 环境下部署和配置 Agent，以及与 Kubelet cgroup-driver 相关的配置说明。6. 社区集成与发布: 将开发成果集成到 Volcano 社区主干分支，并按照社区流程进行版本发布。
基于MindSpore Quantum实现自适应偏置场热启动QAOA算法 ,基础,"[[""datas"",""AI""]]",任务背景：1. 热启动策略：利用GW算法生成初始解，通过旋转编码为量子态，替代传统均匀叠加态。2. 自适应偏置场：混合哈密顿量引入纵向偏置场，随优化过程更新，引导量子态向更优解演化。3. 统一框架与理论分析，涵盖WS-ab-QAOA、WS-QAOA等变体。任务需求：基于MindSpore Quantum框架复现论文arXiv:2503.20048v1，实现热启动自适应偏置场QAOA，能够高效求解最大割问题，相对于论文中的对比对象有性能提升。,1. 要求使用MindSpore Quantum 0.10复现论文中3个图（figure2.4.5）；2. 提交规范的技术报告，需包含：a.具体的算法流程，复现的技术细节，例如量子线路；b.分析方法的运行机理 c.该算法适用场景和局限；3. 相关评估指标符合要求，代码需要有适当的注释并通过clean code标准；4. 最终项目代码需要通过审核并合入MindSpore Quantum代码仓。
