question,answer
如何评价复旦大学教授严锋称“对查理柯克遭枪击身亡幸灾乐祸是对人类文明底线的突破”？,近代以来，中国的自由派一直在反复论证两个事情:1、因为自由，外国人可以做什么2、因为自由，中国人不能做什么。
如何评价复旦大学教授严锋称“对查理柯克遭枪击身亡幸灾乐祸是对人类文明底线的突破”？,造枪的是美国人开枪的也是美国人中枪的还是美国人结果突破人类文明底线的是看新闻的中国人呵呵………………9.14系统提示违规？！？！删去个别语气助词
如何评价复旦大学教授严锋称“对查理柯克遭枪击身亡幸灾乐祸是对人类文明底线的突破”？,最起码有一半美国人属于严教授所说的“突破了人类文明底线”。要不要“大翻译”给美国网友看看复旦教授的精神境界？
如何评价复旦大学教授严锋称“对查理柯克遭枪击身亡幸灾乐祸是对人类文明底线的突破”？,大概10年前左右，有个网民叫“梁惠王”，疯狂吹捧日本军事，公开鼓吹中国应该向日本投降，此人被所在大学开除，严锋力挺其为“真正爱国者”这时严锋不谈底线了。
如何评价复旦大学教授严锋称“对查理柯克遭枪击身亡幸灾乐祸是对人类文明底线的突破”？,美国校园辩论枪杀一个异见者不算对人类文明底线的突破，中国评论区说他两句文明底线就破了？我还不知道文明底线这玩意怎么这么会见人下菜。你要是那么在意评论，那查理柯克把Cov-19叫做“中国病毒”和“武汉病毒”的时候，你和你的文明底线在哪呢？如果你不把中国人当人，那人类文明底线关我们什么事？有好事不叫我们，需要负责任的时候开始死扣评论区字眼了。注意，事情发生在高校，死的是招部分人恨的异见者。你现在能获得安全，不是因为你的言论比他更讨人喜欢，也不是因为自己有更强大的辩论能力，而是因为你所在的国家不兴这个，从法治到氛围，能保证你安全。也不用你感恩，就去骂那些威胁你的具体人和事，而不是保护你的，很难吗？
如何评价复旦大学教授严锋称“对查理柯克遭枪击身亡幸灾乐祸是对人类文明底线的突破”？,罕见宝藏贴，冷门但救命的方法，在 MIT 学到的真正的秒杀，柯克这种只会诡辩，无厘头的技巧。跟这种人辩论，他所有的观点都逃不过弗雷哥一个 bias-balanced solution （BBS）论点。你只要说，双方立场都是bad idea，然后你提出一个balanced solution（隐藏基于你的观点），现在辩题就变成，选择极端还是选择中庸，然后当对方接受 balanced solution 以后，你自然又可以回到，对方接受了你的观点。————————————————他会把你拉入他精心设计好的辩题：1. 移民对美国好坏？2. 女权运动对美国好坏？3. LGBT运动对美国好坏？4. 华尔街硅谷对美国好坏？5. 堕胎合法对美国好坏？6. 制造业回流对美国好坏？7. 跟中国搞好关系对美国好坏？8. 禁枪对美国好坏？9. 婚内强奸算不算强奸？有没有发现，当你举出，对美国好，他总会拉出一大堆观点证明，balabala不好，然后你再一股劲找好，他再一股劲找不好，然后就陷入你跟他纯粹找对方逻辑漏洞…..这些话题，属于社会重大争议问题。不能只是好与不好来定义，因为好处坏处都大规模存在！然后不懂辩论技巧的你，基本上必输无疑了。这时候，弗雷哥教你如何思考！重大社会争议议题，就不可能非黑即白。反对和支持都是一种极端的懒惰体现。真正解决问题，是找一个双方更舒服的制度存在，搜索一个balanced solution。然后再把balanced solution 往你的观点靠。变成bias balanced solution。而柯克现在不是搜索一个balanced solution。比如移民问题，柯克是公开的反对，反对移民。这是一种二极管的思维，很显然是错的。他会遇到移民bulabula坏处。记住，跟这种人回答。就不要提移民好处。问他，哪个国家的人造成的这些犯罪？从瑞士芬兰挪威移民到美国的，跟墨西哥，哥伦比亚移民过来的，哪个造成的犯罪率高。他肯定说墨西哥，所以问题自然变成了，可以移民，但是要区分好移民和坏移民，那么这局他输了…..记住，永远不要把问题变成二极管，而是分裂问题，变成需要一个balanced solution，这样对方必然输。给个灌猪呗烙铁，谁言寸草心 报得三春晖
如何评价复旦大学教授严锋称“对查理柯克遭枪击身亡幸灾乐祸是对人类文明底线的突破”？,我宣布，同时拥有严锋和张维为的复旦大学才是世界上言论最自由的地方。
如何评价复旦大学教授严锋称“对查理柯克遭枪击身亡幸灾乐祸是对人类文明底线的突破”？,"我非常支持严教授。严教授认为要彰显道德性并体现儒家克己复礼为人的核心思想，推崇君子之风，体现格局和胸襟。通过像诸葛亮给敌人周瑜吊孝，赢得敌我双方的尊重，化敌为友，凝聚人心，这是儒家恕道的核心。所以严教授接下来应该要给Charlie Kirk吊孝，这不仅不会损害严教授的形象，反而会赢得中美双方的尊重，彰显道德性并体现儒家克己复礼为人的核心思想，推崇君子之风，体现格局和胸襟。化敌为友，凝聚人心，这是儒家恕道的核心。并且中国传统观念认为天人感应，人的行为会引发宇宙秩序的反应，亵渎亡灵、破坏阴宅会产生戾气，会扰乱自然和谐，招致灾祸，所以给Charlie Kirk 披麻戴孝并且鼓励严教授的支持者打幡砸盆哭祭和三跪九叩才是保护自己的内心感受美好与平和、不被仇恨反噬、是高级的自我保全智慧。同时作为一个贪图流量的网红，严教授应该在丧仪全程邀请我直播并给我推流号召信众给我刷礼物，任何反对我的严教授的拥趸都属于突破人类文明底线、没有克制生物本能、没有超越动物性的心灵扭曲、偏执、残忍的人。因为严教授说了要体现儒家克己复礼为人的核心思想，推崇君子之风，体现格局和胸襟。化敌为友，凝聚人心，这是儒家恕道的核心。但有一点我要反对，严教授的发言太过反美了。根据美国最高法院Rankin v. McPherson, 483 U.S. 378 (1987)判例，最高法院判决幸灾乐祸里根总统没被刺杀是“非常遗憾希望下次刺杀能够成功”属于美国宪法保护神圣不可侵犯的自由言论权。严教授认为美国最高法院是突破了人类文明的底线的结论实在太过粉红，希望严教授与其拥趸小将反美也不要这么魔怔反美，差不多得了。"
如何评价复旦大学教授严锋称“对查理柯克遭枪击身亡幸灾乐祸是对人类文明底线的突破”？,严锋教授批评的的并不包括那一堆幸灾乐祸的美国人，真正让严锋教授生气的是你们中国人竟敢对美国的丑事指指点点
如何评价复旦大学教授严锋称“对查理柯克遭枪击身亡幸灾乐祸是对人类文明底线的突破”？,这世界上有很多人，老人、妇女、儿童，他们没有伤害任何人，但遭到残忍对待，乃至死于非命。比如加沙的居民、校园枪击案的受害者、萝莉岛上被性侵害的少女。对他们的遭遇无视乃至污名化，同时站在加害者一边算不算突破人类文明底线？柯克干了。柯克的遭遇是个悲剧，但他并不无辜。如果嘲讽他遇刺是突破底线，那么他本人早就把底线丢掉了。忘了加一句，把新冠叫China Virus就是他起的头，他可没对无辜的病死者有一点点同情心。怎么没人说他突破底线？
闻泰科技营收 147 亿的半导体资产被荷兰政府冻结，具体情况如何？,中国很多所谓的企业家认识不到或者不愿意接受如下事实：发家致富主要是CPC给的政策和资源，不是自己有多牛逼。守住财富得依靠PLA提供安全和保障，不是到“自由世界”当年猪。
闻泰科技营收 147 亿的半导体资产被荷兰政府冻结，具体情况如何？,瞧瞧荷兰这营商环境同样事情搁在国内，微博上早骂亡国了。另外这个荷兰，是那个首相喊特朗普为老爹的那个？ 爱骑自行车拍照发朋友圈那个吗？
闻泰科技营收 147 亿的半导体资产被荷兰政府冻结，具体情况如何？,这就是中国企业家的通病，吃里扒外，自私自利，毫无国家民族观念。你看人家老外玩的有多花，为什么不能学学呢。安世半导体最大的市场就在中国，你搞什么盈利啊。3欧元生产的芯片，你2欧元出口到中国，让企业年年亏损或者微利。然后以安世半导体的名义在欧洲和美国市场上发行几十亿美元的债券，或者去荷兰银行，美国银行贷款个几十亿美元。再接着，学习国内房地产的套路，给荷兰员工发行点理财产品。对着上游的美国日韩供应商大量赊账，谁愿意赊账规模大，赊账时间长，我就采购谁的零部件，把上游供应商也深度套牢。设备材料都不要买，全去租赁，从荷兰银行美国银行里搞租赁融资。深入学习国内房地产的致胜法宝，一切以领导为先的精神。将安世半导体私有化，发行定向私募融资，把股份低价卖给荷兰，美国的参议员们，每年给他们百分之五的红利。总之就是债务一大堆，企业亏损，迅速的把投资的几百亿本金以各种形式转移到中国。荷兰政府，美国财团，企业员工，上下游供应商，那个不得向爷一样给你供着？美国的参议员们买了一堆股票，怎么好意思，对自己的财产下手？你敢制裁我，我就学恒大得许家印，直接死给你看，你就说服不服不？现在的国内企业家，很多都是吃里扒外，把国内的企业做的一塌糊涂，国外的子公司，年年盈利，这样可以方便他们对外转移资产。眼里只有自己的利益。现在好了，被人当猪杀了，才知道叫苦？早干嘛了，把对付中国打工人的招数，拿出来一半，都给把老外收拾的服服帖帖的。
闻泰科技营收 147 亿的半导体资产被荷兰政府冻结，具体情况如何？,10月14日，中国半导体协会发了一个函，称中国闻泰科技在荷兰的分支机构安世半导体，遭遇了当地政府的选择性和歧视性对待。中国半导体协会用了很多负面词汇，给该事件的定性是非常恶劣的那种，但实际上已经是文绉绉的说法了，几天前的媒体报道标题上，官媒直接用的是“明抢”一词。到底发生了什么事？我把时间线捋一下，这样大家就能一目了然的把事情全过程了解情况。安世半导体原本是荷兰恩智浦旗下的一个事业部，2016年单独剥离，拥有一万多名员工、上万种产品，因为运营情况不怎么良好而挂牌出售。2018年4月，闻泰科技以114.35亿元的价格，获得了安世半导体三分之一的股份；2019年6月，再次豪掷199.25亿元，持有近八成的股份；最后又经过两笔小的收购，闻泰科技将安世剩余的股份全部买了下来，最终获得了安世半导体100%的股权。后来荷兰政府出台了新的监管要求，把芯片产业特殊化，于是让出了1%的股份，最终是闻泰香港子公司裕成控股持股99%，余下1%给荷兰公司。收购后，安世半导体背靠中国市场，从2019年全球功率分立器件第11名升至2024年的全球第3、中国第1。2024年10月，安世半导体偿清所有并购贷款，进入“零负债”运行。2024年12月，美国商务部将闻泰科技列入实体清单。制裁的是闻泰，而不是闻泰的香港子公司裕成控股，更不是裕成控股的子公司安世半导体，所以安世半导体在荷兰继续正常运营。2025年9月29日，美国商务部宣布新规，当非美国实体被列入实体清单后，该外国实体直接或间接持有50%以上的实体公司也将适用各种管制政策。第一个针对的就是安世半导体，在股权三层穿透后，安世半导体自动被覆盖进实体清单。2025年9月30日，荷兰政府立即响应美国商务部的新规，当天就下令冻结安世半导体的资产以及知识产权。9月30日当天，安世半导体荷兰籍高管要求闻泰科技转让安世半导体股权，把持股比例降低至50%以下，并暂停委派中国籍CEO张学政到职。9月30日当天，安世半导体荷兰籍高管向荷兰法庭提交申请，要求对安世半导体采取调查和临时性紧急措施，理由是中国公司闻泰科技“涉嫌”转移安世半导体的技术，但没有提交任何证据。10月1日，荷兰法庭在没有收到任何证据的前提下，认可安世半导体荷兰籍高管的说法，也在没有开庭审理，甚至都没有通知闻泰科技的前提下，认定应该采取紧急措施。当天荷兰法庭裁决，宣布解除中国人张学政在安世半导体的一切职务，同时将闻泰科技子公司裕成控股持有的所有安世股权，全部“托管”给一家“第三方公司”（荷兰公司），裕成控股仅保留1股，并由荷兰法庭指派一名人士前往安世半导体任职，拥有决定性投票权，并有权代表安世半导体决策日常所有运营。以上所有措施，将持续到荷兰法庭未来开庭审理，并做出最终裁决为止。然后欧美媒体开始疯狂造谣，炮制大量谣言污染舆论，说是中国“盗窃”荷兰的技术，所以才导致在安世的股权被冻结没收的。闻泰科技都收购安世半导体足足5年了，长达5年的时间都没做这种事。9月29日美国商务部刚出新规，9月30日闻泰科技就开始“盗窃”荷兰技术了？然后一夜之间在安世半导体任职的荷兰籍高管就有证据了？有证据为啥不早举报，过去5年干嘛呢，有证据为什么明确举报到现在已经过半个月了，还没拿出来一张纸？因为法理实在站不住，更拿不出丝毫证据，荷兰政府随后又改变了说法，把冻结中国企业股权的理由改为了“经济安全”和”治理缺陷”，宣布自己依据的法律是欧盟颁布的《货物可用性法》。荷兰政府声称，如果还由中方股东做决策，可能导致芯片产能在紧急情况下无法优先供应欧洲，从而“危及荷兰及欧洲的产业链安全”，所以依据相关国家安全的法规，荷兰政府需要冻结中方股权，以保证荷兰和欧洲“关键物资的持续取得”。虽然处罚的理由完全改掉了，但处罚结论未变，还是没收了中国企业99.99999%的股份决策权，仅给中方保留了1股。所有决策权都归一家荷兰公司，但所有的股权和收益权都归中国，那么会发生什么？这家荷兰公司直接决策公司资不抵债以1元出售给第三方，那在法律上都是合法的，或者决策高管和员工工资涨10倍，零部件采购价涨10倍，那也都是可以的，然后直接破产1元处置。所以这实质上就是明抢，连装模作样的走一下法律程序都懒得做，一天时间就抢完了。荷兰和美国在半导体领域有深度合作，成为美国的打手是很正常的事情。中国应该怎么做？美国商务部的这种做法，并不是简单的针对安世半导体，而是这种把控股50%以上子公司也纳入实体清单，且无穷穿透的做法，会导致美国原实体清单的覆盖面出现几何级膨胀，明抢安世半导体只是先试试刀，如果尝到了甜头那后面必然开始疯狂复刻这种做法。而荷兰政府这次下手这么积极，一天时间就搞完了所有抢劫流程，说明这件事它们自己本来就想做，只是顺着美国的东风来干这件事而已。所以中国立刻宣布了稀土领域的“长臂管辖”，以后所有使用了中国稀土的产品，要卖给谁必须通过中国的审批才可以，说是含量超0.1%，实际上只要你买了中国的稀土就必须上报，无论数量多少，否则你是拿不到许可证去买下一批稀土的。你买的所有稀土用在了哪里，消耗了多少，都必须自己解释说明，并自己提交证据给中国。而那些用了你含稀土产品作为零部件的下游客户，也必须跟着提交自己的产品去向，必须自己解释说明，并自己提交证据给中国，否则就会被中国列入异常名单，然后要求你下次不准出售稀土零部件给这个客户，否则你也拿不到稀土了。中国在稀土领域的产量达到了全球的90%，远远高于美国在芯片领域的统治力，而且稀土虽然小，但没有稀土你整个生产就无法进行，就好像中国的光刻机几万个部件里面哪怕还有一个没突破，那就无法生产光刻机是一个道理。而半导体本身就是稀土大户，没有几个半导体能绕开稀土而独立生产，一旦被卡断稀土供应就会中断产线。而荷兰在中国的资产数量，也远远大于中国在荷兰的资产数量。所以卡稀土供应这一招是肯定会用在美国身上的，其次我看就是荷兰了，要让荷兰深刻的知道，能断掉荷兰半导体生产链的不止是美国的技术和零部件，还有中国的稀土。美国凭借掌握了半导体行业的少部分不可替代技术，让自己拥有了对半导体行业的“一票否决权”。但以后台积电、三星、SK海力士和荷兰ASML以及几乎所有半导体公司，都需要向中国申请许可证，且中国的稀土找不到替代物，这就让中国也事实上拥有了对半导体行业的“一票否决权”。而稀土的这个一票否决权覆盖的可不止是半导体，几乎覆盖了所有高科技行业，覆盖面比美国的半导体大的多。另外中国也不会简单的用钉是钉铆是铆的对等反制，玩法更高级。比如美国宣布要对中国制造的船只收取巨额的“特别港务费”，中国就没有玩简单的“对等反制”，因为美国压根就不制造船只，没有船可以被反制。但美国的金融资本非常强大，中国之外没有几家海运公司是不含美资的，而且美资含量非常高。于是中国宣布美资含量超25%的海运公司，其所属船只以后进入中国也会被收“特别港务费”。注意是美资，是全体美国公民及公司所持有的股份之和，不是华尔街某几家大基金，只要是美国籍的资金就算美资，全部叠加在一起不得超过25%。这个可太狠了，中国之外的大型海运公司能满足这个要求的有，但真不多。而且最关键的是，这个股份比例是可以调整的，中国说是25%就是25%，中国觉得不够那随时可以改为15%甚至5%乃至于0%，美国在芯片领域对中国禁售的“最低美国含量”不就从25%慢慢下降到了0%么，美国可以这么干，中国未来如果觉得有必要，那随时也可以这么干，而是只是一纸通知的事情。2024年，美国全年港口集装箱吞吐量4100万标准箱，全球占比5.5%。2024年，中国全年港口集装箱吞吐量3.4亿标准箱，全球占比40%。全球的海运公司只要不傻就知道怎么选，这不是对等置换，是碾压暴打，如果按此执行，那么美资将成为全球海运公司都排斥的对象，千方百计要把美资赶出去，而且绝不会压着25%的线，要多撵出去一点留安全空间。因为打击力量远超美国，所以中国留了个口子，说只要用了中国制造的船，那么即便美资超25%，也可以在中国免交“特别港务费”，把打击力量收回一部分，分好处给中国造船业，也让那些全球海运公司心里踏实点，只要多买点中国船就能避免公司股价巨幅震荡。这种做法就是美国常用的霸权主义做法，中国不是不能用，是不想用，因为要顾忌国家形象，但如果是中国被逼无奈采用，而且只针对“霸权主义”国家，那世界各国的接受程度就会大了很多，甚至还会乐见其成。但对中国来说，这些政策工具一旦首次使用，开了“先例”，那以后其他小国惹事就也可以这么用，毕竟我们连美国惹事时都可以这么用，凭什么不可以对惹事的小国用。美国不仅亲手让中国拥有了这个政策工具，还亲手让中国成了“完美受害者”。在美国竭尽全力的打压下，在中国反击之前，中美双方的基础数据就已经宣布胜负了。2025年8月，哪怕以美元计算，中国的出口都同比增长了4.4%，9月份更是大幅同比增长8.3%。9月份的这个出口大幅增长8.3%，是在对美出口大降27%的数据下实现的，对欧盟、东南亚和非洲的出口分别增长14%、15.6%和56.4%，填补了对美出口的大幅下滑。不仅出口暴涨，进口也暴涨，中国2025年9月的进口额同比大涨7.4%，也是哪怕以美元计价，这个数据是建立在9月中国对美进口同比大降16.1%的前提下。以上这些数据表明，在美国竭尽全力的使坏下，在对美国进出口双双大降的前提下，中国的总体进出口大涨，美国的做法丝毫没有减慢中国的增长势头。如今对美国的出口，只占中国总出口的不到10%了，中国已经彻底完成了出口多元化，美国市场变成了“一小部分”。以上这些数据，全部都是在中国大反攻之前完成的。所以荷兰这次帮美国带头冲锋的行为，是极其不明智的，且直接引发了中国的连续大反攻。那没办法了，杀鸡儆猴需要点材料，总得要找只鸡来杀，那只能借汝头一用了。不打勤的，不打懒的，专打不长眼的。作者：远方青木（ID：YFqingmu )原文：明抢，中国半导体公司被荷兰剥夺99.99%股份控制权
闻泰科技营收 147 亿的半导体资产被荷兰政府冻结，具体情况如何？,挺好的，给其他公司打个榜样。全资公司，结果人事上管理层是外国人，技术也没拿到，首席财务官也是外国人也就是财务也没拿到，合着你就是纯粹的财务投资，那你全资了个寂寞。这个事情足够警醒后人了，可以列入跨国并购的反面教材，整个一人傻钱多不设防。以后记住，资本市场老外都是心狠手辣，你要比老外更心狠手辣。
闻泰科技营收 147 亿的半导体资产被荷兰政府冻结，具体情况如何？,这下真有点利益相关了；之前突然一堆车企要求排除安世用料的供应链风险，开始我还莫名其妙，原来是这出，工作量又要加大了；安世（nexperia）实际上是原来NXP(恩智浦)的标准件业务拆出来打包专门卖的，基于我这边有限的和安世接触下来的印象，哪怕是相对于全球一线半导体大厂，安世搞功率MOSFET方面也是十分专业的，产品线丰富，相关经验也足，更别说那票国产小卡拉米了，具体的你可以去官网或者半导小芯下个安世的datasheet和国内厂家（强茂，捷捷微和扬杰啥的）对比一下，典型的就是热阻，安世之前连小信号MOSFET都会提供瞬态热阻曲线，而国产厂家之前热阻可能都不会写；除此之外还有就是仿真模型和功能安全相关的文档，安世这部分的质量起码也是对标国际一线大厂的，国产则是：在编了在编了；除了MOS之外安世的其它分立器件比如TVS或者功率二极管起码我个人觉得是不如vishay和安森美的，可以体现在产品线丰富程度上（尤其是极端参数的器件），而国产这部分像乐山无线电和台半也很早就在做也挺好用的;MCU安世前面在美国搞了个团队开始做，也是迷惑行为，当时我就在想安世还不明白自己为什么吃香么？不过现在来看确实是没明白，这方面作为新手安世对比国内厂家兆易紫光啥的可没啥优势，后面两家已经有产品量产出货了，安世还在开发中；当年安世卖之前是一直亏钱，现在混的还不错也就是赶上了国内汽车产业高速发展的东风，以及贸易战后车企不断增长的供应链国产化需求，两者缺一个安世都不会有现在这样。因为之前安世被中资收购之后，普遍被认为是中企，各个厂家在评估供应链风险时都给了安世国内企业的待遇，这在前几年甚至现在这个成天嚷嚷国产化的大环境下可是十分巨大的优势，具体点的话比如作为研发我想用TI的料，那就必须要向相关领导和客户额外证明这颗料必须要TI才能满足需求，其它家都没有能满足需求的（真到这个时候可能会质疑需求的合理/必要性），不然还是先考虑别的吧，优先度大抵是国内的企业>欧企≈日企>美企，而安世之前是被认为是国内企业，可以想想和那票看上去就很草台的国内企业比起来，安世的优势有多大，导致IFX ST和TI哭兮兮，看着安世嘎嘎出货，以至于之前安世FAE和销售普遍佛系：今年卖超那么多了，歇歇咋了（实际上安世这个国产还是贷款的，前几年安世是给国内企业画饼说会在四川建立一整套上下级产业用于确保供应链风险可控）；但是现在，反正我不理解荷兰和安世那票外籍高管为什么要这么搞，真闹瓣了他们还有这么好的日子？放全世界市场，IFX有博世照顾，美企有博格华纳偏爱，安世和谁关系好？有啥明显优势？至于国内.....要不看看国内车规半导体现状吧：IFX：大爷们，马来西亚还不够安全么？那我下一代功率产品线全部放国内好不好啊，MCU也可以，谈，都可以谈；TI：大爷们，用用我的东西吧，我的东西便宜啊，车规级只要你们愿意用，我全流程都放成都生产，保证供应链安全可控；ST：我和国内厂家合作了，以后全国内代工封装，偶尔超超spec我们也能承诺的，用用我吧；哪怕国内厂家也是有优点的，起码姿态足够低，情绪价值拉满，让他们测啥都给测，也陆续把这部分往datasheet里面更新，各种测试也越来越规范和完善，所以几年下来国产器件起码也已经变得能用了，同时也很容易摁着他们的头让他们承诺一些超spec工况；对比下来安世有啥优势呢？再退一步，知乎大神不总在说，得罪了客户还想有好日子过？到时候再打骨折找人接盘？我是不信国内会有大冤种这种情况下还去高价给人接盘，毕竟脑子正常的人不会和钱过不去，国外企业真的就是打骨折人还得掂量掂量有没有必要；就汽车电子而言，技术上的壁垒实际上不是特别高，贸易战以来国内的车企对供应链安全是放在超高优先级的，很多车企都有逐年提高的国产化率kpi，这里的国产化是要求生产链条必须全部放在中国境内的，是会派人去所有相关工厂实地审核的，这里有个笑话就是大家可能会疑惑4v算不算，目前其实是不算的，因为4v拒绝所有的审核员入境，所以工厂在4v的企业也就无法通过审核；在这个大趋势下，就汽车上的控制器而言，现在已经有了很多全国产化的平台了，从各种电阻电容以及各种二三极管，到MOS，CAN，LIN，PSI5，高低边，半/全桥驱动，PMIC，LDO，DCDC，IGBT以及MCU和flash全部都是国产厂家且境内生产，很多车企都是哪怕现在不用，也会出钱让各个供应商先研发一套以防万一；看到这个问题有感而发，随便写了点，逻辑语句什么的不要特别关注，我也懒得仔细改，毕竟已经够烦了....
闻泰科技营收 147 亿的半导体资产被荷兰政府冻结，具体情况如何？,浙江企业在玩弄资本和法律上真不行。特别是浙江嘉兴的。这种境敏感项目标的的海外收购，一点主动防御手段都不设置。真以为境外政治环境和资本市场像国内这么宽容啊，直接开抢太正常了。
闻泰科技营收 147 亿的半导体资产被荷兰政府冻结，具体情况如何？,2023年2月14日，瑞士冻结了俄罗斯相当于81亿美元的资产，瑞士喊了两百年的“永久中立”、“瑞银保密”、“资金安全”的牌坊彻底破碎。2025年10月12日，荷兰冻结安世半导体公司的资产，西方喊了几百年的“个人财产神圣不可侵犯”、“契约精神”、“贸易与资本自由流通”、“技术无国界”、“有限公司制度”、“文明法治”的幌子也彻底被撕开。西方人用行动证明了，他们的信用就是没有信用，他们的契约就是唯利是图，他们的信仰只有强盗逻辑，他们听得懂的语言只有轰炸机的嗡鸣。会真心相信西方那套伪善念经的人，恐怕也只有土殖中的土殖吧。至少，因为闻泰科技内部追责而丢掉饭碗的那一批人，从此再也不会念叨“我不要大国崛起，我只要小民尊严”了。
闻泰科技营收 147 亿的半导体资产被荷兰政府冻结，具体情况如何？,荷兰：不是哥们，你还真信自由市场啊？我干海盗起家的。
闻泰科技营收 147 亿的半导体资产被荷兰政府冻结，具体情况如何？,几百亿市值的公司，营收147亿，说一句国家安全就没了。有这钱，捐给国家多造一艘航母，有事没事去欧洲军演几次没准能拿回去，这事其实说明仗剑经商已经是普世价值观了，这道理东大得多学。想了一下，给闻泰的股民支一招:闻泰科技可以在国内发起诉讼状告荷兰的相关公司和实体，如果国家出手就用国内法进行判决，再利用判决对荷兰相关公司进行制裁，即使荷兰的公司拿不会来也想办法废了它。走国内法路径，千万不能花钱在荷兰按照欧美的法律打官司，在别人地盘打官司除了赔律师费不可能赢。
