title,time,department,file_dowload_situation,content
关于2023-2024学年第一学期通识教育选修课选课的通知,发布时间：2023-08-26,计划科,附件【超星尔雅使用手册（学生版）.pdf】已下载3375次附件【智慧树学生端操作手册.pdf】已下载1645次附件【慕课堂学生操作手册.pdf】已下载3990次,"通识教育选修课(以下简称通选课，原称全校性公共选修课)是为扩大学生知识面、开拓视野、推进文理渗透、理工结合、提高各方面素质而开设的跨院系全校性选修课，各专业学生应根据专业需要确定修读类别并修满相应学分。请同学们登陆教务处主页的本科教学系统进行选课。  一、选课时间：第一轮：8月28日—8月31日，第二轮：9月2日—9月3日，第三轮：9月5日。  二、投分原则及积分计算方法：1、选课采用投积分、分轮次进行的方式，先预选后由系统统一处理选课结果。每轮选课初始，系统给予每位同学100个积分，同学根据自己的选课计划自由划分这些积分。每轮选课结束后系统根据最终积分（详见积分计算方法）大小按从高到低排序以确定中选名单，对于积分相同但超过限选人数的同学将采取随机抽取的办法。已选中的课程在选课时间内均可自由退选。  2、每门课最终积分=所投积分╳年级基数所投积分：必须为大于0且小等于100的整数；年级基数：毕业班为100%、三年级和五年制专业四年级为85%、其它年级为70%。  三、选课规则1、每轮选课结束后，对于未达到限选人数的课程将形成人数差额，供下一轮继续选课。第二轮选课结果后，选课人数未达到20人的课程将取消开课，已选中这些课程的同学请于第三轮选课开放后选择其他课程。  2、已取得及格以上成绩的校选课，不得再次重选；若已修过与校选课相同的课程（即使学时或学分不同），也不应再次选修，否则不予认可学分。另其他任意两门课程冲突，或与校选课时间冲突的，都会导致不中选。若在本系或跨系中已修过的相同的课程学分可抵校选课学分，但不再计入本院、系其它课程模块学分。特别注意：以上限制与排除条件均为投分后系统方可判断处理，因此请同学们先行判断自身情况再针对性投分，以免浪费选课机会。  3、第二轮选课开始将增加智慧树、超星尔雅、学银在线及爱课程等平台开设的在线开放共享课程供同学选课，课程名称前缀分别标注为“智慧树”、“超星尔雅”、“学银在线”、“爱课程”，请同学们注意识别。在线开放课程由学生自愿选择，限选一门，选课方法与第一轮相同。选中课程的同学需在9月11日至9月17日登陆相应平台进行注册报到方可参加在线学习。成绩合格者，课程学分期末计入校选课相应类别学分,未在教务处选课系统选课而自行报名在线学习者不予认定学分。  常用授课平台网址为：  福州大学课程中心：http://met2.fzu.edu.cn/meol/index.do；  智慧树：https://portals.zhihuishu.com/fzu；（手机端用户打开知到APP，选择学号登录，输入福州大学、学号及初始密码：Zhihuishu@学号后六位。请注意：打开APP后，点击【学习】查看已选择的课程，课程角标必须为“学分课”，若角标显示为“兴趣课”或“公开课”，则说明认证不正确，这个课看完是没有学分的！）附：智慧树学生端操作手册  超星尔雅：http://fzdx.fanya.chaoxing.com/portal，(首次使用学习通的同学，需要注册并绑定单位（单位UC码1799）及学号才能查看并学习课程，注册及使用方式详见附件使用手册)；附：超星尔雅使用手册（学生版）  学银在线：http://www.xueyinonline.com/；  学堂在线：https://next.xuetangx.com/；  中国大学MOOC：https://www.icourse163.org/；  爱课程：http://www.icourses.cn/school/FZU。(爱课程网站需注意：（1）使用邮箱注册成功后，需将用户昵称命名为：FZU+学号+姓名，如张三，注册用户名为：FZU学号张三；（2）注册成功后，必须加入相应课程的慕课堂参加学习，才能最终获取成绩)   附：爱课程慕课堂学生操作手册  四、注意事项1、请仔细阅读各网课平台的操作手册，按要求完成注册认证后再参加课程学习。  福州大学教务处2023年8月26日"
福州大学关于开展2023级“嘉锡化学拔尖班”招生工作的通知,发布时间：2023-08-26,教研教改,附件【附件1：福州大学2023级“嘉锡化学拔尖班”招生简章.doc】已下载2328次附件【附件2：福州大学2023级“嘉锡化学拔尖班”选拔方案.doc】已下载1888次,各学院：2020年我校化学专业入选教育部基础学科拔尖学生培养计划2.0的化学拔尖学生培养基地。举办“嘉锡化学拔尖班”是培养化学拔尖学生的重要举措之一。为深入实施这项特色鲜明的人才培养模式，经研究，决定从2023级高考理科 (或选考物理化学)新生中选拔部分优异生继续组建“嘉锡化学拔尖班”。请各学院相关负责人组织做好宣传报名工作，积极鼓励有创新潜质、综合素质优秀的学生参加报名，有关事项见附件。特此通知。附件1：福州大学2023级“嘉锡化学拔尖班”招生简章附件2：福州大学2023级“嘉锡化学拔尖班”选拔方案福州大学教务处                                              2023年8月25日
福州大学关于开展2023级“数理综合班”招生工作的通知,发布时间：2023-08-26,教研教改,附件【附件2：承诺书.doc】已下载1198次附件【附件1：福州大学2023级“数理综合班”招生简章.doc】已下载2660次,校教〔2023〕30号各学院：   举办“数理综合班”是我校培养拔尖创新人才的重要举措之一。为继续推动这项特色鲜明的英才培养模式改革，经研究，决定从2023级高考理科(或选考物理)新生中选拔部分优异生组建第二十届“数理综合班”。请各学院相关负责人组织做好宣传报名等招生工作，积极鼓励有创新潜质、综合素质优秀的学生报名参加，有关事项见附件。   特此通知。附件1：福州大学2023级“数理综合班”招生简章附件2：承诺书                                  福州大学教务处                                  2023年8月25日
福州大学关于开展2023级“数理金融实验班”招生工作的通知,发布时间：2023-08-26,教研教改,附件【附件3：2023级数理金融实验班申请表.doc】已下载1078次附件【附件4：承诺书.doc】已下载1060次附件【附件1：福州大学2023级“数理金融实验班”招生简章.doc】已下载2078次附件【附件2：福州大学2023级“数理金融实验班”选拔方案.doc】已下载1827次,校教〔2023〕29号各学院：   举办“数理金融实验班”是我校培养拔尖创新人才的重要举措之一。为推动这项特色鲜明的英才培养模式改革，经研究，决定从2023级高考新生中选拔部分优异生组建第十届“数理金融实验班”。请各学院相关负责人组织做好宣传报名等招生工作，积极鼓励有创新潜质、综合素质优秀的学生报名参加，有关事项见附件。   特此通知。附件1：福州大学2023级“数理金融实验班”招生简章附件2：福州大学2023级“数理金融实验班”选拔方案附件3：2023级数理金融实验班申请表附件4：承诺书福州大学教务处2023年8月25日
福州大学关于公布2023年本科生开放探索性实验项目（课程）评选结果的通知,发布时间：2023-08-23,实践科,,校教〔2023〕28号各学院：根据教务处《关于组织申报2023年本科生开放探索性实验项目（课程）的通知》的文件精神，在项目申报、学院评议排序基础上，组织校外专家函评，同意推荐2023年本科生开放探索性实验项目（课程）立项项目35项，其中立项福州大学2023年本科生开放探索性实验课程10门、立项福州大学2023年本科生开放探索性实验项目25项，现将立项项目名单公布如下：  福州大学2023年本科生开放探索性实验项目（课程）立项项目名单序号项目（课程）名称项目负责人实验学时纳入培养方案课程名称是否独立设置实验课资助金额（元）学院1机器视觉的图像与几何基础实践朱明珠24机器视觉的图像与几何基础实践是50000机械2虚实结合的开放式项目制机电液（气）一体化综合集成实验宋泽云48机电液智能控制综合创新实践是50000机械3面向智能软体机器人的力学探索实验魏发南24软体机器人力学实验是50000机械4金融科技实验课程陈梦曦24金融科技实验是50000经管5酶理性优化工程实验张龙斌48酶理性优化工程实验是50000生工6ACM竞赛算法实践傅仰耿48ACM竞赛算法实践是50000计数7物联网开发与应用创新实践许志猛24物联网开发与应用创新实践是50000物信8数字图像处理开放性实验陈良琴24数字图像处理开放性实验是50000物信9三维建模在结晶学中的应用黄丽亚24三维建模在结晶学中的应用是50000紫金10热电材料与器件制备和表征实验罗中箴24热电材料与器件制备和表征实验是50000材料11多路信号发生器的设计与研制陈亦文24数字及电子技术综合实验否20000电气12先进控制系统设计与实践黄宴委48自动化综合实践否20000电气13基于MATLAB自动代码生成的智能控制算法研究蔡逢煌48自动化综合实践否20000电气14智能加工过程几何误差在线检测-《互换性与技术测量》课程实验黄惠8互换性与技术测量否20000机械15典型机械零件的材料设计—加工—组织—性能全流程实验卢月美8工程材料及成形技术否20000机械16智能制造中复合控制算法的设计与实现张丽萍6控制工程基础否20000机械17《数控技术》课程实验黄异8《数控技术》课程实验否20000机械18基于先进流体测量技术的开放探索性流体力学实验刘曦16专业综合实验否20000化工19微试样测试技术研究张经伟16专业实验否20000化工20双网络导电凝胶电解质的制备及应用江献财16化工综合型实验否20000化工21基于小型振动台的工程结构动态参数测量与物联网控制沈圣4《传感器与检测监测技术实验》否20000土木22智能型天然高分子材料的生态设计及性能研究林春香12环境材料学实验否20000环安23利用DGT技术测定河口湿地As生物有效性实验曾悦12环境科学实验课否20000环安24物流智能仓系统数字孪生与仿真张玲8物流系统建模与仿真否20000经管25基于机器学习的网络流量信息检测实验项目张浩12学时网络程序设计实践否20000计数26面向医疗大数据分析的机器学习科研实训朱丹红4学时机器学习综合实训否20000计数27AI+信创助力医学影像分析开放探索性实验杨明静16人工智能算法及应用否20000物信28基于基质辅助激光解吸电离质谱的疾病标志物筛查与鉴定林子俺16综合实验（二）否20000化学29人参皂苷的分离提取、精制纯化及含量测定邵敬伟16天然产物提取与分离实验否20000化学30衍生化气相色谱质谱法测定饮料中的糖醇类甜味剂王建6仪器分析实验否20000化学31具有异构发光变色的铜(I)配合物的制备、表征及结构和发光性能研究魏巧华14《综合化学实验（1）》否20000化学32金属材料热处理设计及其模拟仿真实验陈俊锋6热处理原理否20000材料33锂离子电池制备及性能研究陈奇俤16材料综合实验C否20000材料343D打印成型工艺与性能分析陈玉龙6材料制备与加工实验否20000材料35智能交互创意设计与制作张丽娇16《机电工程训练》否20000机电中心    请各立项项目负责人按申报要求将2023年本科生开放探索性实验项目（课程）及时纳入人才培养方案（即独立设置的实验课应成为某专业的实验必修或选修课，非独立设置的实验项目应成为某实验课的实验项目），并确保于2023-2024学年内向本科生开出。福州大学教务处2023年8月23日 
关于转发《关于举办第十三届海峡两岸信息服务创新大赛暨福建省第十七届计算机软件设计大赛的通知》的通知,发布时间：2023-08-21,实践科,附件【闽工信联软件〔2023〕31号关于举办第十三届海峡两岸信息服务创新大赛暨福建省第十七届计算机软件设计大赛的通知.pdf】已下载1074次,各学院：现将《关于举办第十三届海峡两岸信息服务创新大赛暨福建省第十七届计算机软件设计大赛的通知》（闽工信联软件〔2023〕31号）转发给你们，请根据文件要求积极组织相关专业学生报名参赛，具体报名事宜详见附件。附件：闽工信联软件〔2023〕31号关于举办第十三届海峡两岸信息服务创新大赛暨福建省第十七届计算机软件设计大赛的通知福州大学教务处2023年8月21日
关于开展大学生校外实践教学基地检查评估的通知,发布时间：2023-08-14,实践科,附件【附件1：福州大学校外实习教学基地一览表（2022年9月）.xlsx】已下载7483次附件【附件2：福州大学大学生校外实践教学基地检查评估表.xlsx】已下载1244次附件【附件3：福州大学大学生校外实践教学基地检查评估汇总表.xlsx】已下载1166次,"各学院：实践教学基地是支撑实践教学环节的重要保障，是产学研合作教育的重要内容，是产教融合的重要基础。目前我校大学生校外实践教学基地建设已具备了一定的规模和基础，但仍存在基地管理不够规范、利用不够充分、闲置率较高，实习实践效果不够明显，对基地的考核评价不够完善等问题。为不断深化产教融合和校企合作，持续加强我校大学生校外实践教学基地建设和规范化管理，进一步梳理和统筹我校校外实践教学资源，充分发挥实践教学基地在本科人才培养方面的重要作用，根据《福州大学实践教学基地建设与管理办法》（福大教〔2019〕37号）和审核评估专家意见要求，特制定《福州大学大学生校外实践教学基地检查评估表》，现将检查评估有关事项通知如下：一、检查评估目的以评估促进基地条件建设、师资队伍建设、实践教学体系与实践内容建设、管理规章制度建设和信息化建设；以实践教育基地为平台，通过模式改革、实践提升、成果驱动、校企共建等方式培养大学生的创新创业能力，促进人才培养与社会需求紧密结合，推动实践教学改革与创新。二、检查评估对象2022年9月本科教学状态数据填报的所有基地。三、检查评估重点1.基地建设情况：（1）基地是否与学校签订合作协议、协议是否在有效期内；（2）基地是否已正式挂牌；（3）基地中的企业（事业）单位是否处于正常生产经营状态、是否涉及更名；（4）所属行业是否与实习专业对口；（5）实习管理相关规章制度是否齐备；（6）能否满足完成实践教学任务的各种要求；（7）产教融合情况，卓越工程师培养成效，工程经验导师聘任数量等。2.基地运行情况：（1）基地近三年是否每年正常接纳我校学生开展实践教学；（2）提供的实践岗位是否与专业人才培养目标要求相匹配；（3）是否为我校学生的实习实践活动配备专门的指导老师；（4）在基地开展的各类实践教学活动相关支撑材料是否完整。四、主要检查评估资料1.校外实践教学基地协议书复印件；2.实践教学基地简介及资质证明；3.基地的实习管理相关制度；4.基地的指导教师情况；5.每年在基地开展的实践教学工作的具体安排（含三方实习协议、具体的实施方案或教学计划、面向专业、接纳的学生人数和名单、校企双方的指导教师安排等等）；6.在基地开展实践教学的相关资料和成果（含实习教学活动记录（文字、照片、视频材料）、学生实践日志、实践成果、实践总结、鉴定表等等）；7.基地录用我校毕业生情况、接受教师挂职锻炼情况、与学校开展的项目合作、参与学校人才培养相关工作的情况；8.其他（如实习基地对学生实习实践情况的反馈和评价、学院赴实践教学基地开展的检查活动、有关新闻稿件等等）。五、检查评估计划为全面检查评估校外实践教学基地，将检查评估分为三个阶段。（一）学院自查，8月28日-9月11日各学院负责本学院所有的实践教学基地自查工作（各学院基地单位名单见附件1）。各学院对照《福州大学大学生校外实践教学基地检查评估表》（见附件2）进行自评，并收集保存相关支撑材料（协议书、管理制度、相关实习资料、图片等）。对于条件差、利用率低（原则上每年接纳实习生人数低于5人次）或连续3年没有接纳过我校本科生的基地，要终止协议；对于合作基础好，利用率高，签约到期的要履行续签手续，对离校较近，实习条件好，接纳学生多的基地要重点巩固建设，不断提高基地的建设水平。（二）学院总结，9月11日-9月18日学院自查完毕后，所有基地须填写《福州大学大学生校外实践教学基地检查评估表》（每个基地一份），学院要根据整体核查情况撰写自查报告，并填写相应的统计表格（见附件3）。自查报告应描述本学院目前所有的校外教学实习基地的利用及管理情况，存在的问题及建议，以及下一步基地建设三年发展规划。（三）学校评估，9月19日-10月13日在学院自查和总结基础上，学校将成立检查评估组，通过检查资料和实地抽查相结合对基地进行评估，优秀的实践教学基地可优先申报福州大学示范性校外实践教学基地；不合格的实践教学基地应进行整改或取消。六、检查评估要求（一）全面摸查校外实践教学基地，清理无效实践教学基地各学院全面梳理本学院2022年本科教学状态数据填报的所有大学生校外实践教学基地，摸清并准确掌握基地实际运行情况。对近三年均未接纳本科生开展实践教学的基地予以取消；对未超过签约有效期但无实际运转、无实质合作可能的校外实践教学基地予以清理；对已超过签约有效期但还在有效运行的基地予以续签。（二）加强实践教学基地建设与管理，提升基地建设质量和实效各学院应根据各专业人才培养方案、学生人数和专业特点等，按照就地就近、相对稳定、节省经费的原则，选择与专业对口、设施完备、技术先进、管理规范、符合安全生产等法律法规要求的单位建立校外实践教学基地，逐步建成一批稳定性好、能够有效锻炼学生专业能力、创新精神和就业能力的高水平校外实践教学基地，满足学生实习实践需求，有效发挥校外实践教学基地在实践教学体系中的重要作用。（三）系统评估基地基本运行情况，培育特色鲜明示范性基地各学院定期检查评估本学院所属实践教学基地基本运行情况，主要检查基地基本建设和运行情况，包括基地在过去几年满足我校学生实践需求、接纳我校本科生开展实习、参与指导实践教学、推进产教融合协同育人等方面的情况。此次检查评估合格的校外实践教学基地，学校将授予“福州大学校外实践教学基地”牌匾（已挂牌除外）。同时，从中遴选、培育一批特色鲜明、具有较高实践育人水平的示范性校外实践教学基地，学校将授予“福州大学示范性校外实践教学基地”牌匾。示范性校外实践教学基地应满足以下基本要求：1．实践教学基地建设满三年以上，并与基地依托单位签订有5年及以上继续合作的协议；2．实践教学基地使用率高，能稳定持续接纳学生实习实践。近三年，每年人均实习时间不少于14天且实习人数不少于20人；或年均接纳200以上人次学生；3．实践教学基地组织管理体系健全，基地建设规划科学合理，目标明晰、措施具体、保障有力；实践教学规章制度齐全，管理科学规范；4．实践教学基地具有一定规模，设备先进，设施齐备，环境优越，食宿条件良好，安全措施有效，能满足各类实践教学活动要求；5．实践教学基地专兼职具有丰富工程经验的指导教师队伍数量充足、结构合理、业务素质好、责任心强、安全防范意识高，能高质量完成实践教学任务；产教融合成果丰硕，卓越工程师培养成效显著等。6．实践教学基地原则上位于学校校区附近。七、材料提交要求请各学院于2023年9月19日前收齐相关检查评估材料后统一报送至教务处实践科，材料包括：1. 《福州大学大学生校外实践教学基地检查评估表》（每个基地一份）电子版（PDF）及相关支撑材料（协议书、基地简介、管理制度、相关实习资料、图片等主要检查评估资料）电子版,每个基地分别设立一个文件夹；2.《福州大学大学生校外实践教学基地检查评估汇总表》（学院汇总填写，纸质版一份及相应电子版）；3.各学院开展大学生校外实践教学基地检查评估自查报告（学院填写，纸质版一份及相应电子版）。联系电话：22866853  电子邮箱：jwcsjk@fzu.edu.cn请各学院务必高度重视、认真检查评估、准备材料，落实好此项工作。附件：1. 福州大学校外实习教学基地一览表（2022年9月）2. 福州大学大学生校外实践教学基地检查评估表3. 福州大学大学生校外实践教学基地检查评估汇总表福州大学教务处2023年8月14日"
关于本科教学管理系统及其相关业务系统暂停使用的通知,发布时间：2023-08-02,综合科,,各学院、各有关单位：根据网信办要求，我处拟于8月7日至8日对教务处服务器进行搬迁，届时本科教学管理系统及其相关业务系统暂停使用，请大家提前安排好工作，由此造成的不便敬请包涵谅解！教务处2023年8月2日
关于公布福州大学2023届本科生优秀毕业设计（论文）名单的通知,发布时间：2023-07-05,实践科,附件【附件：福州大学2023届优秀本科生毕业设计（论文）名单.doc】已下载3641次,校教〔2023〕22号各学院：根据《关于做好2023届本科生毕业设计（论文）工作的通知》（校教〔2022〕50号）文件要求，经专家评审、学院推荐、论文检测、学校审批，共评出福州大学2023届优秀本科生毕业设计（论文）190篇。现将名单予以公布，详见附件。附件：福州大学2023届优秀本科生毕业设计（论文）名单                                        福州大学教务处                                        2023年7月5日 
关于召开2022-2023学年春季学期期末本科教育教学工作会议的通知,发布时间：2023-07-03,综合科,,各学院及相关教学单位：兹定于2023年7月6日（星期四）15:00在旗山校区行政南楼123会议室召开期末本科教育教学工作会议。请各学院及相关教学单位分管教学院长、教学办主任、教学干事、校教学督导组负责人届时参加，各学院教学干事负责通知本学院参会人员。福州大学教务处2023年7月3日
关于做好期末复习考试及下学期开学等工作的通知,发布时间：2023-06-30,教学运行,,校教〔2023〕25 号各学院、各有关单位:  本学期已近尾声，现将本学期期末教学工作安排及下学期开学初有关工作的注意事项通知如下:一、期末考试1. 考试安排  本学期教学安排至2023年7月7日，2023年7月8日至8月27日放暑假。2023年7月1日至7月7日为期末停课考试周。各年段考试周内至少应安排二门考试课程，7月6日或7日应排一门考试课程。由注册中心统一安排考试的部分公共课程考表见表一。其他课程的考试日期由各学院安排。跨学院合班课程考试(分类统考)请有关学院协调安排考表。各学院考表连同下学期初补考表应在7月4日前报送到注册中心。2. 考试时间停课考试周，所有考试时间安排如下：上午:8:30-10:30 ；下午:2:30-4:30 ；晚上:7:00-9:00非停课考试周的考试时间以具体公布时间为准。3. 考试组织工作及要求学院应进一步加强规范考试管理，考试组织工作应按福大教〔2018〕39号《福州大学课程考核管理实施办法》和校教〔2016〕55号《关于加强考试管理和严肃考试纪律的通知》的要求严格执行。同时，为加强考场管理，维护正常的考试秩序，学校已对各教学楼所有多媒体教室（公共教学楼、文科楼）安装了标准化考场巡考摄录系统，白天及夜间均全天候启用及录像保存备查，各学院应将教室安装摄像监控的事宜告知本学院教师和学生。学院要重视加强对监考教师的考场职责培训，强调监考教师的工作规范，明确考场规章制度，尽职尽责履行考场监考要求。同时对学生进行考前思想动员和教育，重申考场纪律，做好学生的诚信教育，把违纪作弊的思想扼杀在萌芽状态。各考室主监考老师应从本科教学系统中打印相关考场学生名单及考场情况报告单，在开考前认真核对考生信息并要求考生在学生名单上签名（签过名的学生名单与试卷一起留档）。对考试过程中有违纪苗头的学生及时警告纠正，对确有违纪作弊行为的学生，应按学校有关规定及时严肃处理，每场考试监考人员应清楚准确填写《福州大学考场情况报告表》（以下简称报告表）一式两份。若有考试违纪或作弊情况，应于考试结束当日内将一份报告表及相关违纪作弊材料报送至教务处注册中心，另一份随试卷装订；若无考试违纪或作弊情况，两份报告表均随试卷装订。监考教师要严格执行校教〔2015〕32号《福州大学监考人员职责》，若有失职，学院应予批评教育，并按教学事故条例处理，将处理结果报送教务处质量管理科。4. 成绩录入与公布6月26日至7月12日为学生成绩录入时间。任课教师必须在这个时间段内完成网上成绩录入之全过程，录入应严格按照系统要求操作，以确保准确性。成绩录入提交后，任课教师应从网上将成绩打印一式二份由本人和系或教研室主任签字确认，一份送交开课学院保存，一份由任课教师保存。成绩统一由注册中心从网上向学生公布，学生可随时登录https://jwch.fzu.edu.cn网点，用各自密码进入本科教学管理系统对老师的教学情况进行评价，然后查询自己的成绩。各学院应及时检查成绩登录情况，并督促教师完成此项工作，所有考试结束后的第六天，注册中心将关网，进行学籍处理。二、毕业班工作7月13日前上报经期末考试后确定能毕业以及拟授予学士学位的学生名单等各类材料。对于修业年限期满的学生，各学院也务必同时全部清理完毕（做出毕业、结业或拟退学处理）。三、下学期初补考工作1. 补考时间：2023年8月26日至9月3日。2. 补考安排表中的课程必须是本学期有开设的必修课和限定选修课（不含实践性环节课程），参加补考的对象必须是本学期参加修读课程成绩不及格的和申请期末缓考的学生。3. 注册中心负责各公共基础课的补考安排（见表二），其余课程由各学院自行插空安排，请各学院根据实际补考人数，在系统中安排具体考试地点，并将安排表及时公布并通知到学生和相关课程所在的院系（教研室），认真做好补考的准备工作。各考室主监考老师应从网上打印相关考场学生名单及考场情况报告单，并将考场学生名单张贴公布在考场前。监考老师开考前请认真核对考生信息并要求考生在学生名单上签名。4. 8月26日至9月8日为补考成绩录入时间，任课教师应于这个时间段内完成网上补考成绩录入之全过程，因成绩录入时间关系到9月份的推免生成绩核定工作，请各学院务必通知教师及时录入成绩，9日系统将关闭不得录入成绩。若一些课程是根据暑期实践报告才评定成绩的，须尽早让学生提交报告，以确保教师在规定时间内录入成绩。四、下学期开学初工作  1. 8月27日为学生到校报到时间，8月28日正式上课。学生本人应持学生证到所在学院履行报到手续，不得代办。2. 各学院对逾期注册、迟到、旷课的学生应认真查明原因，严格按学籍管理条例处理，在开学二周内将情况报送注册中心。3. 8月26日至8月27日为新生报到时间。9月25日新生正式上课。以上各项工作安排均应按时完成，按时报送，认真对待，超过期限将不予受理，延期或上报有误，按教学事故条例进行处理。(此件各学院必须通知到全体教师)附:1.表一:2022—2023学年第二学期部分公共基础课期末考试安排2.表二:2022—2023学年第二学期暑假公共基础课补考 安排教 务 处2023年6月29日附表一2022-2023学年第二学期部分公共基础课期末考试安排（具体考场安排和时间会陆续在网上公布）考试时间考 试 科 目随堂考毛泽东思想和中国特色社会主义理论体系概论随堂考马克思主义基本原理随堂考中国近现代史纲要随堂考思想道德与法治随堂考军事理论5月14日上午工程制图E5月28日全天C语言、Visual Basic、C++程序设计、Access数据库程序设计、Python6月4日下午线性代数（含独立重修班）、线性代数与解析几何6月11日上午高等数学A（中）、B（下）   、C（下）6月11日下午概率论与数理统计（含独立重修班）6月18日上午大学英语（三）6月18日下午大学英语（二）、（四）6月18日下午工程制图A(下）、C（下）、D、F7月3日上、下午英语拓展课7月6日上午大学物理A（上）、C7月6日下午大学物理B（上）注：英语拓展课包括：中国文化（英语授课）、英国文化、跨文化交际、英语国家概况、欧洲简史、汉英语言对比、实用英汉翻译、大学英语六级、雅思英语（听说）、雅思英语（读写）、英语口语提高、新闻报刊英语、科技英语、商务英语、学术英语、福建文化附表二2022-2023学年第二学期暑假公共基础课补考安排课程时间大学英语（三）8月26日上午8:00-10:00英语拓展课8月26日上午10:20-12:20大学英语（二）、（四）8月26日下午2:00-4:00毛泽东思想和中国特色社会主义理论体系概论8月26日下午4:20-6:20大学物理A（上）、B（上）、C8月27日上午8:00-10:00大学物理A（下）、B（下）8月27日上午10:20-12:20C语言、Visual Basic、C++程序设计、Access数据库程序设计、Python8月27日下午2:00-4:00军事理论8月27日下午4:20-6:20形势与政策8月31日晚上19:00-20:00大学生就业与创业指导8月31日下午3:30-4:30高等数学A（中）、B（下）、C（下）9月2日上午8:00-10:00高等数学A（上）、B（上）、C（上）、A(下)9月2日上午10:20-12:20线性代数、线性代数与解析几何9月2日下午2:00-4:00概率论与数理统计9月2日下午4:20-6:20工程制图A（下）、C（下）、D、E、F9月3日上午8:00-10:00马克思主义基本原理9月3日上午10:20-12:20中国近现代史纲要9月3日下午2:00-4:00思想道德与法治9月3日下午4:20-6:00大学应用写作9月3日下午4:20-6:20具体考场安排见本科教学管理系统
关于举办福州大学第四十四场“教学有道”研讨活动的通知,发布时间：2023-06-30,质量办,,各学院、有关单位：为推广优秀教学设计的理念和思路，进一步提升我校青年教师教学能力与水平。经研究，学校决定举办第四十四场“教学有道”专题研讨，具体安排如下：一、研讨主题主题一：数字经济背景下“金融学”课程改革与实践探析主题二：完善课程思政打造优质中国经济专史课程二、研讨时间2023年7月3日（周一）下午14:00三、主讲人经济与管理学院  陈玲教授、蔡高锐副教授四、研讨地点经管北楼106会议室五、承办单位经济与管理学院六、参会人员1.经管学院教师；2.全校其他感兴趣的教师。主讲人简介：陈玲，管理学博士，教授，研究生导师，福建省经济学会副会长，福建省证券经济研究会副秘书长，主要讲授金融学学科导论、投资经济学、国际投资学、风险投资学、国际投资与我国利用外资等课程，从事金融投资、国际投融资及风险投资等研究方向。蔡高锐博士，副教授硕导、中国注册会计师非执业会员、福建省理财规划师协会会员。开设本科课程：税法、纳税检查、税务管理、财政学。开设研究生课程：财政理论研究、税收筹划研究。福州大学教务处2023年6月30日
关于参加“2023高教社杯全国大学生数学建模竞赛”报名与集训的通知,发布时间：2023-06-29,实践科,附件【附件：2023高教社杯全国大学生数学建模竞赛福州大学队伍的报名操作流程.pdf】已下载6914次,根据福建赛区[2023-01]号文件“2023全国大学生数学建模竞赛报名通知”的精神，现就我校本科生参加“2023高教社杯全国大学生数学建模竞赛”报名与培训工作安排如下：一、报名符合下列条件的队伍（3人组成一队）可直接报名参赛：1.已参加过往届全国大学生数学建模竞赛，并获得省级二等奖及以上的队伍；2.已参加过往届美国大学生数学建模竞赛，并获得H奖及以上的队伍；3.已参加过往届中国电机工程学会杯数学建模竞赛，并获得三等奖及以上队伍；4.已参加过往届全国统计建模大赛，并获得省级三等奖及以上的队伍；5.已参加过往届校赛，并获得三等奖及以上队伍；（允许以上队伍更换其中一名队员）；6.已参加过2023年美国大学生数学建模春季赛与中国电机工程学会杯数学建模竞赛的队伍（因结果未公布，可直接获得参加国赛资格）；7.考虑到部分不符合以上报名条件、但有强烈参赛愿望的队伍，允许这些队伍先报名，经指导团队考核后，选出优秀的队伍参赛。二、报名费用为防止报名队伍弃赛或违规参赛，所有报名队伍在报名时，需同时交纳报名费300元，具体参考附件1：2023高教社杯全国大学生数学建模竞赛报名操作流程。成功参赛的队伍，将全部返还报名费。三、集训我们将从8月初开始，开展赛前集训（线上、线下），所有参赛队伍必须参加，具体时间如下：线上集训：8月3日至8月13日；线下集训：建模群中通知，具体事宜待定。 教务处 数学与统计学院数学建模指导团队   2023年6月29日附件：2023高教社杯全国大学生数学建模竞赛福州大学队伍的报名操作流程
