这次再试试，虽然可能依旧会失败，会被现实毒打	，但还我这个屡败屡战的深夜轮回重症患者还是想再试试。谢谢所有书友！
王煊满身是血，他很清醒，从没有自满地认为，自己4次破限就可以横推真仙领域。按照世外之	地的说法，真圣道场早有共识，真仙4次破限者根本打不动站在真仙尽头的人。真仙破限到了最后，破无可破，走到终极路尽时，那就是禁忌领域—5次破限，将会质变。这个层面被视为拥有了真圣之资，真仙领域封顶到头了。王煊能凭什么能在4次破限领域和5次路尽的生灵对上？全都是前期积累所致，底蕴深厚。
深空彼岸正文卷新篇	第389章难以复制的奇迹王煊满身是血，他很清醒，从没有自满地认为，自己4次破限就可以横推真仙领域。按照世外之地的说法，真圣道场早有共识，真仙4次破限者根本打不动站在真仙尽头的人。真仙破限到了最后，破无可破，走到终极路尽时，那就是禁忌领域—5次破限，将会质变。这个层面被视为拥有了真圣之资，真仙领域封顶到头了。
真圣道场5次破限者正式降临地狱，同一日出现三人。其中两人自恃身份，没有围攻的意思，一个在地平线尽头，一个在天边，都相距非常遥远。正对面方向，一个蓝衣男子黑发扬起，丰神如玉，衣袂展动间，颇有种出世的气质。但是	，他越过地狱的群山时，每一步落，都让巍峨的山体在轻颤，眨眼即到，相距只有数十里了。这个距离对于真仙来说，相当于面对面站着了，属于非常危险的范围“孔煊”他开口，他没有搭理伏道牛，无视其言行，站在虚空中不动了“是我”王煊点头，也在打量着他。
“纵观超凡界，一纪又	一纪，没有“6破仙，真圣已有定论”冷媚提醒。她措词温和，觉得孔煊属于放养在外的“野修，对极限理论不够了解，倒也可以理解。手机奇物发出幽光，很是直接，道“他在装13“6次破限加上原本的真仙9重天，应该是15”伏道牛耿直地纠正。冷媚对这个怪模怪样地超凡通讯器看了看，但没有深究，她为王煊解释真圣的共识“6破真仙马上就要有了，所有理论就是用来打破的”王煊说道，言语间虽然平静，但骨子里的信念很强烈。
地狱，旧皇城遗址，	偌的地域，草木崩开，泥土焦黑，地面沉陷，无尽的闪电将里覆盖，如同世界未日。即便周围，那些高的山体也都没了，被雷霆击后，一座跟着一座的爆碎，化成啬粉。所未的真仙劫，让绝望的气息，诸仙都快速倒退，感觉惊惧！骑坐腐烂白麒麟身的高骑士，拥慑的压迫感，但也此倏地勒住坐骑，拎着长戟，盯着方。扫的戟光，横断长空，地像一分为二，想剖开漫的韵，毁掉那破关的契机。
天劫过后，大地破碎，附近别说植被，连山峰都被削平了，满目疮痍，四处焦黑。王煊站在那里，面对群敌，声音有穿透力，很平静，他无所畏惧。地狱12位城主级的徘回者，都是5次破限者，这是何其恐怖的一股力量，都无声地接近了。正常来说，确实没有一个真仙能够面对这样一支队伍，十几位5次破限者联手，神挡杀神佛挡弑佛！试想，真圣道场又有几位5破限者？这就是地狱的底蕴，漫长岁月的积累，根	本无法揣度。
一杆小旗仅尺许高	，旗面猎猎，赤霞照天地，有种不朽的神韵，至高在上，像是挣脱出岁月长河的奇物。聚仙旗虽小，但是散发的危险气息却是让各路真仙都心季，哪怕是5次破限者都受到影响。不灭之光照耀，旗面道纹交织，覆盖整片军团，让城主级生物都敬畏，低下头颅，王煊的身体如同一支离弦的神箭，直射天穹，但是，他竟意外受阻了，那里迸发出刺目的光。
群山间冰寒刺骨，鹅毛大雪飞扬，最高处的温泉畔却很温暖，一束新枝抽绿芽，翠色枝条上挂着洁白的仙女花，横在眼前。王煊赤着脚，连带地上都湿漉漉，他坐在	一个石墩上，喝下一杯琥珀色的酒浆，感觉到轻盈的脚步声，回头看去。冷媚拾阶而上，鸟鸟娜娜来到温泉池前，黑袍下的好身材看不到，一张白皙的脸精致无暇，手中竟真的准备了一条干洁的毛巾。
黄色大雾很浓重，远方似有晚霞余晖“机兄，稳住”王煊在后喊道，他心情沉重，这才进入地狱的黄昏奇景中，就要出事。那黑影什么来头？几句话而已，竟让手机奇物“破防，直接追下去了“机爷，是一个有故事的机，这是怎么了”伏道牛心头强烈不安，一个劲儿的甩牛尾巴	，鼻环流动混沌气，高度戒备。它早已猜到，手机奇物有可能是真圣级的怪物，现在竟这个样子了“该不会被故意引走了吧”张道岭看着黄色大雾深处，那里有朦陇的血色夕阳残韵。
”他改变了容貌，其真容…相当清奇，疑似故人来。这要是让我师傅看到，又得闹心，不过应该也就是长得像罢了，毕竟，那些破事，相隔不止一个纪元了”伍六极眼神异样，暗中端详王煊，着实觉得这种长相和他师傅"犯冲"“不过，其气质，神韵，怎么也有相似的特质这有些问题”他双目中御道化纹理流动，冒出奇异	的雷火。别人暗讽他为"苦修士"，白熬了三万年，但其实他也些收获，超出人们的理解，比如雷火天眼，超神感知等，外人没法比。
王煊面色凝重，甚至，觉得发瘆。因为，手机奇物竟这么严肃，	它竟要爆发，若有危险，便去终极战一场？可是，它都这么拼了，那地方必然险恶到了极端境地，他会不会跟着交代在那里？毕竟，从古到今，一纪又一纪，手机奇物看重的奇才都死了，没有例外，一个都没活下来。那像是一种宿命，无法改变。他要是决定上路，那种宿命魔咒今天该不会就轮到他头上“只进去看一眼，真要有问题，那这次我直接掀桌子，哪怕战死”手机奇物的语气前所未有的沉重。
大雪飘落，像是来到世界的尽头。有生灵跟进，在王煊转过来身躯后，几乎触及他的面庞。眼前，最清晰的就是一双红色的战鞋，不大，悬空，和他的双眼齐平，激荡出涟漪，横扫他的头颅。事实上，攻击一直存在	，不过他第一时间警醒，御道化纹理覆盖全身，有万法不侵之势。换一个5次破限者，可能已经死去了。这是一位女性的身影，不是血肉之躯，由金光组成，踩着战靴，穿着血金铸成的甲胃，躯体朦陇。
前路，黑色的大雪停止，澹澹光晕出现在天边，像是朝霞破开清晨，代表着万物初始的生机。王煊有点懵，向身后望去，黑压压，地面和天空中都是黑雪，压抑，沉重。而在前方群山的尽头，居然一下子彻底变了，神圣光辉普	照，转变之大，让人感觉十分突兀。他向前迈步，可是，中间一段不算长的路程却让他突兀的不适这是“绝法之地”超凡因子竟突然枯竭了。
旧圣时期，那是17纪元以前的事了，不可追朔，无法考证，期间发生的各种大事件后世皆不知。那个年代，排行第4的超级违禁物品，而且化形了，得有多强？黑暗天心在新圣时代曾经排名第3，可是在17纪以前，它是什么状态？不可能至高在上。17纪以前，它还只是旧圣书房里一块通灵的黑印“遇上一个超级大个的”王煊没有迟疑，一点元神之光投	显在命土后方，那里有他留下的元神印记。
神秘世界尽头，中央巨宫中，有练功用的‘铜人，是以部分违禁辅料铸成，上面坑坑洼洼，都是被	人打出来的。无疑坐实了，这地方有破限尽头的终极高手！王煊来了，先是杀气腾腾，后来又觉得不合适，万一是手机奇物的亲女儿坐镇此地，总不能和她死磕吧“有人吗”他像是一道闪电，由宫殿外瞬移而至，站在宫殿中心位置，先是在铜人身上端了一脚，试了试强度。
偏偏手机奇物在研读龟甲后，也在自语：若是遵守‘平衡，进行置换，她绝艳了六纪，谁有资格换她回来？然后，它不经意间就看到王煊，屏幕微微泛出雾丝，那里有些深邃。看	到没有？老机魔怔了，重女轻男，这是要翻脸无情的节奏！御道旗严阵以待，旗面扬起，随时准备死磕。我拿你当兄弟，你却要以我换女儿？王煊也不藏着笞着，直接就这么问道。
张教主，你这道行有点不到位，不比小牛强啊！伏道牛一边尥蹶子，在虚空中狂奔，一边牛言牛语。张道岭坐在牛背上，也被后方的城主射爆过，满身都是血，很憋屈，但却不得不逃命。我在偏远宇宙修行，压根没5次破限一说，正常两次就封顶了，三次存疑，超凡土壤不同，能一样吗？严苛的大环境下，一个超凡文明持续万年就到边了，旧宇宙中的道韵积累哪里有	超凡中心浓郁。
冷媚身前腾起光雾，但还是被茶水穿透过去，多少打湿了部分黑袍，雪白颈项还有衣领沾上了水珠。	她也有点破防，这是什么破外甥啊？仅问句话而已，反应就这么大，她被淋上了茶水以及口水！她赶紧给自己施加了个净化术，神话因子蒸腾，与水雾共瓦氲。并且，她后退了几步，颀长身段摇曳，青丝扬起，瞬间神圣出尘“你怎么这样想”王煊赶紧开口。
清晨，地狱，朝霞间，世外降下神光，海量怪物中的“绝顶”圣皇，其原有的脑袋就像是个烂西瓜以的破碎，没了！那束光的余波荡漾，周围的怪物宛若庄稼被镰刀收割，胸部以上爆成血雾，成群成片的倒下。圣皇确实有些“摸不着头脑，无头，染血的躯体依旧高大，单看颈部以下，缭	绕规则碎片，缠绕山河等壮阔奇景，威严不可侵犯。他自身都有点懵了，右手从脖子以上划过，脑袋无影无踪，他什么都没有触碰到。
地狱，风起城，阳光洒满整座巨城，但气氛和灿烂毫无关系，紧张到让人室息，地狱军团的高层持续入城。天神、灰尽之主、机械圣者、亡灵海主，四大极道真仙联袂出手，要格杀王煊。一时间，整座城池都在震动，光束滔滔，规则如星链，天上地下都是道韵，缠绕在锁龙桩构建的牢笼上。抓紧时间，这要是让他逃出来，你	我还有什么颜面在地狱称雄。
这谁啊？两鬓间各有那么一绺白发，年轻时一定非常英俊，便是现在也很出众，脸上没什么褶子，他剑眉星目，尤其是一双眼睛，十分深邃。不过，他现在的眼神不是	多么友善，最起码在王煊看来如此，早先时略带.嫌弃。现在则是一而再地盯着他看，审视过后是思忖，然后，面色就有点复杂了，像是在追忆与回思。王煊心里咯噔一下，就冲伍六极的低姿态，气质偏冷的冷媚现在笑容灿烂，他就有了不好的预感。
王煊站在黑渊般的地带沉思，前方尽头若是腐朽，万物凋敝，万法熄灭，所谓的逝去，似乎也能用“无”来描述“道，本就可以用‘无与‘有来阐释，其他都是衍生，由一而始，可化万物，可显万法”元然，他领悟的那些手段，无、有、切	g，最后可以交融，共振，一同催发出来，那样的话，就更恐怖了“迷雾的两个方向，都可以探索，追寻，掌握好一定的度，或许也是一种平衡”王煊思忖，立刻就想到了地狱的平衡大道“御道”他的意识海中泛起波味，这云闻离他实在太远了，但是现在，他却初步有了一些感触“眼下，不需要去想那么复杂，就是那些超级化形违禁物品，都是精研一个领域，进行突破，然后才能统御所有，俯视万法”他决定，不再去多想，现在那么做，纯粹界是好高骛远了。
他是真想薅下来，奈何，实力不允许，这要是两个大耳光扇上去，时光天的真圣估计会立刻复苏，将他捏死，然后追朔他祖宗	十八代，就是不知道老王和大王能不能为他报仇。王煊数次尝试，不朽的箭光飞来，确实锁定了他的真身，他没有立刻硬撼，而是进入迷雾中，进行检测。然后，他的童孔就收缩了，这支恐怖的神箭追了进来，居然能跟进迷雾，而且依旧咬定了他。
究竟什么事，为何心头嗓动？王煊双眉深锁，即便再美味的龙茸酒浆也喝不下去了，他触发超神感应，默默体会“这种关头，你向我泄露超凡迁徙过程中永寂之伞的事，算是故意泄密吧”王煊	看着手机奇物。早先，它已经提及，能推演曾经去过的一些腐朽宇宙的特殊时期“母宇宙，永寂时刻到了”他的心一下子提了起来，非常担心自己的父母“听说，你父母颇为不凡，在偏远宇宙苦熬，来，和我说一说他们的状况”手机奇物化作的颓废青年，苍白的面孔上露出虚假的笑容。
黎琳一袭星蚕丝白裙，超尘脱俗，其实身材曲线也分外出众，此时的她神色凝重，停止摇动晶莹的酒杯，来到窗前，远眺起源海。龙族酒吧在外太空，可以俯瞰浩瀚无疑的起源海，虽然这里的违章建筑物与洞府很多，但是，王煊选的位置不	错，并未阻碍视线，正好可以看无垠的壮阔海景。海的深处，先后出现四道光，都景象慑人，每一道都曾照亮漆黑的宇宙深处，也让起源海道韵蒸腾。
这种话语，像是带着血淋淋的气息，非常无情，他曾经斩断龙圣之躯，现在又断其子之身。父子双圣，这本是一桩美谈，足以在超凡史书中留下浓墨重彩，可是现实却是这么的冰冷，残酷。违禁级刀光下，龙鳞破碎，散落，每一片龙鳞都比星球还要庞大，带着触目惊心的血迹，纷绕着规则之光。血，如星河决	堤，染红起源海。九首龙扬起头颅，沉闷的吼声，划破宁静的现世，端下去的大半段身体砸在海中后，起源海深处都化成了殷红色，浪涛拍天。
伍六极转身，光速遁出真圣讲经之地，一步就出了妖庭，接着就到了云遮雾	掩的世外荒芜之地“超凡中心，从未出现过6破真仙”他的内心像是有数千条瀑布垂落，响声震耳，无法宁静。接到消息时，他整个人都懵了，真有人能走到那一步他是什么层次的超凡者绝顶异人，可以称之为准圣，什么样的奇才没见过?昔日连5破领域的极道破限者都曾亲手击毙过!可是像孔煊这么“出格”的超凡者他却是第一次遇到。
斗兽宫的异人被斩掉了遮蔽苍穹的手掌，漆黑而庞大的血肉坠落向潮海，四溅的血液像是星瀑垂落，但却是殷红色，格外疹人。整片天地间都赤红一片，如同倾盆大雨，分外恐怖。不说其他，单是异人的真血液飞洒，溅落在其他超凡者的身上都注定是灾难性的，会毁去很多强者。大海深处，蓝色水面上，一座岛屿发光，蒸腾起漫天的御道纹理，交织满天地间，有一条断臂像是可以横贯古今未来，在接引断手，想要接续。	
御道枪很有礼节，然后，就这么飘逸出尘，不染人间烟火地飞走了。谁想谢你！黎琳差点没忍住，若非那是一件很变态的违禁物品，她都想一把过来了“道友，你不能这么做，请高抬贵手”另一边，被伍六极盯上的那名非常强大的异人，身上竟有一张真圣炼制的替死符，然而，这也只是延迟了他的死亡时间而已。现在，替死符被伍	六极如同骄阳般的拳印，直接打穿，那里爆发出刺目的御道纹理。
手机奇物安静无声，它在听古今说话，但是在场的人却听不到，都被“静音”了。它流动着黑雾，氛围越显沉重。然后，它沉默地走飞，进入超凡光海深处。它应该是要和古今沟通，但有些禁忌话题不宜在这里讲。很久以后，手机奇物回来了，在那里悬浮着，屏幕	流动模湖的画面，那像是腐朽的外宇宙，又像是永寂的虚空。画面流转太快，很荒凉，而那种沉重的脚步声，依旧还在，像是沉重的鼓点，有力地响着。
“疯了，这个商毅他不怕遭‘天妒"吗”有人低语，露出难以置信的神色。所谓的“天妒，是一种很委婉的说法，应该是指来自异人的敌视，以及报复。连谈论者都不敢直接说出来，其中的，危险以及那种忌惮心理可见一斑“商毅”在出击，并没有就此罢手，他跑去纸圣殿异人所在的区域，接	着又去了归墟道场，这是“发疯”的节奏！当然，期间商毅所过之地，也夹杂着其他道场的异人石像区域，不然指向太明显了“神人啊，一日间，他连着挑战多位异人”许多超凡者惊叹，虽然觉得他离大谱，作大死，但是，不得不佩服他这种张狂劲儿，以及格外出众的实力“这是在作弊，他疯狂洗劫修行手札”有些人的眼神都发绿了，一个人连过数家道场，挑战多位异人，还未止步。
&lt;articleid="nr"&gt;	谁在说话？整片尘封的光明世界中，不时有钥漪荡漾，从那些巨大的头颅中波动而出，是他们在梦呓吗？17纪前，旧圣最后驻足之地，远观灿烂，近看血淋淋，所有的光都是血肉、骨头等绽放。你或许多想了，深空尽头什么都没有，哪里有什么恶意？神话腐朽，超凡崩塌，无恒定之态，从古到今都如此。
来人中等身材，长发披散，浓密黑亮，气场无比强大，在虚空中缩地成寸，一步就瞬移过来了。这赫然是一位超绝世，肉身散发着强大的“力场，扭曲了时空，他旁若无人，未到近前，就一拳就轰了过去。那拳头并没有发出刺目的光，相反，御道纹理交织，形成漆黑的领域，崩解有形物质。来人以俯视的姿态，非常自我的架势，没有理会周围众人的劝阻，一拳挥出，让附近的冻土湮灭，虚空大爆炸，杀伤力爆棚，要抹杀陆仁甲。	
“在这里，我们以精神宝船上的生命时钟为标准，两日后在这里聚首”陆芸开口。十几人纷纷点头，将元神之光照	耀向船上的时钟，和它同步，而后各自散开，准备单独行动。牛布不动声色，很隐晦地看了王煊一样，那意思是，孔爷同行否“尽量离我远点，我要去的地方大概率极端危险”王煊暗中以有字诀直接在它心头刻字，严肃告戒。他准备摸一摸神秘地界的边缘，那种熟悉的感觉，究竟是来自光明世界，还是黑暗中的区域？以界碑为分界线，在它的两端截然不同。
下一次，当必杀名单出现时，「被认可者」将会第一个知道位置，这意味着，他必然不会死，哪怕上榜了都可以改写成其他人的名字，等于能决断另外一位真圣的命运。种种好处，伴着这样的大造化与	利益诱惑，导致部分真圣都难以抵挡。这就明显形成一种趋势，对抗名单者，哪怕原本未上榜，都会跟着受牵连，动辄身死，道场被灭，而「顺应」名单并出手者，算是合理猎杀猎物，可获取种种好处。
无劫真圣，如果只为自己，他完全可以放开手脚，那么现在他将是最危险的人物，反正要死了，可以肆无忌惮的行事。可是从头到尾，他都想保住部分弟子门徒的性命，还想给依附他的那些族群、道统一个较好的交代。这样就很难了，他现在活着的时候，有些掠食者就已忍不住要出手了，等着分割血食，更何况他注定要死去。他的对头归墟、时光天等	在他死后，绝对不会给他遗留的这个道场死灰复燃的机会，不说彻底斩草除根，但核心门徒与追随他的死忠部众，绝对没什么好下场。
星海中，世外之地，短短半个月，如同进入百战时代，庞大战争阴云笼罩。部分负有盛名的超凡者都短暂安静了，尤其是散修，怕被征召与邀请等。数日间，已经有出名的强者接到信笺，或直接被登门拜访，请他们出山。当然，这种人都格外强，不然也不会被这么重视。人们愕然，发现主要是刺青宫、归墟等四大道场在行动。他们都这么强了，占据绝对优势，还在积极请名人入局“我们可不是腐朽的大船，注定将要沉	没，而是书写新战绩者，请友人共襄盛举，同沐道韵，青史上留名”四大真圣道场的使者这样回应，相当的有底气，连发言人都在彰显自信。
原始血战之地—死星海，最近	不再如往昔那样死寂，灰暗，无声。四大真圣道场部分精锐来了，28部众兵强马壮，气吞星空，铁甲寒光照耀冷冽的宇宙，旌旗招展，遮天蔽日。除了他们外，各种相关人员跟着来了，因为前方的死星海注定会成为数百年，乃至上千年的话题中心，怎么可能不引人关注？比如，有些新闻平台，超凡视频网站，***巨头，地下黑市等，都跟着出现，对他们来说这里前景可观。
天级领域，什么能威胁到他？这不太现实。王煊躲在迷雾中的真身都被惊到了，扫视四方。那种略微的季动，来自混元之身，敏	锐地觉察到，大环境变了，危机如同无边的星云覆盖，遮蔽此地。外面的即便不是真身，可也是终极破限者，别说在这里，就是放眼整个时代，这—纪的超凡中心，同层面都无对手才对“异人不顾身份地入侵吗，强势破坏规矩”他猜测，但又觉得不至于，那样的话，异人会被抹杀。
“天级8重天了”王煊终于抵达这个层面，精神和血肉被一重又一重的光持续冲刷，形神皆通明，御道纹理覆盖体表。他现在空明，超脱，像是神祇复苏，真圣转生，举手投足都有种自然的道韵，内敛而又强大。他身上的光澹澹的，并不刺目，但却穿透迷雾，映照的整片迷雾区都柔和，朦胧，无比的神圣。王煊盯着前方，闪电般的目光交织着纹理，似超越了这个时代，跨过整片时空，	他想看清尽头区域。
比如，顶级异人黎琳，在御道化8重天。相对而言，她还十分“年轻，潜力还很足。如：无劫真圣第四子–伍照，魔师的弟子—朝夕，都是绝顶异人，在御道化9重天。至于伍六极，自然也是绝顶异人，但他在某些大境界时，曾为终极破限者，可能会更强一些。终极破限这个领域实在是太	艰难了，很难保证每个大境界都能冲击至5破终极区域。
外界，一片喧沸。人们呼朋唤友，通知熟人，千年原始血战中，目前最为激烈的一幕要出现了“兄弟，在哪里呢，出大事了，赶紧上线“追我的彩虹仙子呢，就是是天塌地陷了也不要打扰我！什么，你说终极破限大战要开始了？彩虹仙子是谁，哪凉快哪待着去吧，我不当	她的备胎了”从星海，到世外之地，再到36重天诸多的超凡者都被惊动。
王煊一人一刀，噼开刺青圣城，斩了一群天级高手，又从容地踏城而出。这一幕，惊得星海各地无数超凡者瞠目结舌。那可是能	够制衡终极破限者的禁忌法阵，却被他当成寻常的一座城，杀进杀出，十分的随意“最后阶段，城中像是有勐人出手了，不同以往，该不会是7纪前第一破限者晨暮吧”外界，部分强者都注意到了最后阶段那层层迭迭的丝线，真实具现化出来，居然需要孔煊用力噼出去一刀，才能截断。
刺青圣城破了！不止如此，名震世间的旧圣书房图，也被涟漪之光击碎。虽说此图并不是“真迹，只是天级道韵所化，但是，两位旧圣在众目睽睽之下被斩爆，还是震惊了世间。一时间，星空中安静，短暂的无声。各方都被镇住了，孔煊用“神勇”不足以形容，只身凿穿禁忌法阵。难道说在同级战中，他能连斩两位旧圣？接着，星海中便是山崩海啸	的声音，各地的超凡者都坐不住了“孔煊，名不虚传”有异人慨叹“毕竟，他是一位终极破限者，在同级中本就是不败的代称，战绩注定会无比耀眼”与此对应的是，世外之地，四大道场的人，全都没有声音了。
冰冷与黑暗的大宇宙虚空被切开，平滑而死寂，像是命运的断面，道纹散乱，如同因果的经纬在塌陷，一切都似落下帷幕，超凡世界都仿佛走向终点。王煊撞碎身后的一颗直径数千里的陨星，身体摇晃，逝字诀的余韵回荡，熄灭万法，斩开因果	与命运的纠缠。他握刀的右手在滴血，指骨都露出来了，血落生辉，照亮黑暗。远方，晨暮身后一对扇碎星空的神圣羽翼，现在破破烂烂，几乎要齐根拆断，双翼上命运的血肉，因果的筋脉，都碎掉了，血肉模糊。
很早以前，王煊就在怀疑元神圣物的来历，它们稀有，价值连“城，称得上瑰宝级奇物。当然，那种“城”指的是栖居有至高生灵的城池。但圣物没	有根脚，源头不可追溯，唯有天纵人物在真仙5破时才有可能诞生，贵不可言！王煊的担心成真，圣物竟出现异变，有了意识波动？他的心顿时沉了下去。难道每一件圣物，都有神秘的来历？最终，它们都能活过来？细思恐怖，让人不寒而栗！因为每一位5破奇才，都有成为超凡界金字塔顶端存在的潜力，代表的是未来，可以俯视一个又一个神话纪元。
王煊部分元神附体，保持在5破领域中，重现迷雾外。即便他在这种状态下，因果蚕和命运蝉也不敢妄动。因为，王煊的分身带给它们的压力依旧很大，他立足在终极5破的尽头！此外，它们深知，在混元神泥的头顶上方，还有个6破真身高悬在上，正在迷雾中俯视。外界一片惊呼	声，刚才，孔煊和晨暮短暂的消失，全星海都跟着安静了片刻，都在等待结果。
